Assembly Accession size
GCF_000008925.1_ASM892v1_ NC_006529 20417
GCF_000008925.1_ASM892v1_ NC_006530 44013
GCF_000008945.1_ASM894v1_ NC_004252 10073
GCF_000008945.1_ASM894v1_ NC_004253 3661
GCF_000009065.1_ASM906v1_ NC_003131 70305
GCF_000009065.1_ASM906v1_ NC_003134 96210
GCF_000009065.1_ASM906v1_ NC_003132 9612
GCF_000009185.1_ASM918v1_ NC_008213 46867
GCF_000009205.2_ASM920v2_ NC_008226 7881
GCF_000009305.1_ASM930v1_ NC_008230 3661
GCF_000009345.1_ASM934v1_ NC_008791 67721
GCF_000009485.1_ASM948v1_ NC_011003 92661
GCF_000009585.1_ASM958v1_ NC_017334 5246
GCF_000009585.1_ASM958v1_ NC_017335 4381
GCF_000009585.1_ASM958v1_ NC_017336 3158
GCF_000009605.1_ASM960v1_ NC_002253 7786
GCF_000009605.1_ASM960v1_ NC_002252 7258
GCF_000009645.1_ASM964v1_ NC_003140 24653
GCF_000009665.1_ASM966v1_ NC_002774 25107
GCF_000009725.1_ASM972v1_ NC_005230 103307
GCF_000009725.1_ASM972v1_ NC_005231 44343
GCF_000009725.1_ASM972v1_ NC_005229 119895
GCF_000009725.1_ASM972v1_ NC_005232 106004
GCF_000009745.1_ASM974v1_ NC_005128 48508
GCF_000009785.1_ASM978v1_ NC_006509 47890
GCF_000009925.1_ASM992v1_ NC_006297 33716
GCF_000009945.1_ASM994v1_ NC_007900 7552
GCF_000010085.1_ASM1008v1_ NC_007713 83306
GCF_000010085.1_ASM1008v1_ NC_007714 27240
GCF_000010085.1_ASM1008v1_ NC_007715 10810
GCF_000010105.1_ASM1010v1_ NC_007486 104014
GCF_000010105.1_ASM1010v1_ NC_007487 3637
GCF_000010105.1_ASM1010v1_ NC_007491 271577
GCF_000010125.1_ASM1012v1_ NC_007351 38454
GCF_000010125.1_ASM1012v1_ NC_007352 22870
GCF_000010185.1_ASM1018v1_ NC_010371 189163
GCF_000010385.1_ASM1038v1_ NC_011419 100021
GCF_000010385.1_ASM1038v1_ NC_011413 91158
GCF_000010385.1_ASM1038v1_ NC_011416 60555
GCF_000010385.1_ASM1038v1_ NC_011407 6929
GCF_000010385.1_ASM1038v1_ NC_011408 5366
GCF_000010385.1_ASM1038v1_ NC_011411 4082
GCF_000010485.1_ASM1048v1_ NC_013655 122345
GCF_000010545.1_ASM1054v1_ NC_010802 167422
GCF_000010585.1_ASM1058v1_ NC_011995 15667
GCF_000010585.1_ASM1058v1_ NC_011996 80545
GCF_000010585.1_ASM1058v1_ NC_011997 2131
GCF_000010585.1_ASM1058v1_ NC_011998 3417
GCF_000010585.1_ASM1058v1_ NC_012000 4398
GCF_000010585.1_ASM1058v1_ NC_012001 4226
GCF_000010585.1_ASM1058v1_ NC_012002 4061
GCF_000010585.1_ASM1058v1_ NC_012003 2968
GCF_000010645.1_ASM1064v1_ NC_011564 37560
GCF_000010645.1_ASM1064v1_ NC_011561 37111
GCF_000010645.1_ASM1064v1_ NC_011562 31893
GCF_000010645.1_ASM1064v1_ NC_011563 4149
GCF_000010745.1_ASM1074v1_ NC_013354 75546
GCF_000010765.1_ASM1076v1_ NC_013365 204604
GCF_000010765.1_ASM1076v1_ NC_013370 97897
GCF_000010765.1_ASM1076v1_ NC_013366 77690
GCF_000010765.1_ASM1076v1_ NC_013367 8140
GCF_000010765.1_ASM1076v1_ NC_013368 6673
GCF_000010985.1_ASM1098v1_ NC_013940 308544
GCF_000011085.1_ASM1108v1_ NC_006389 33303
GCF_000011085.1_ASM1108v1_ NC_006390 33452
GCF_000011085.1_ASM1108v1_ NC_006391 39521
GCF_000011085.1_ASM1108v1_ NC_006392 50060
GCF_000011085.1_ASM1108v1_ NC_006393 132678
GCF_000011085.1_ASM1108v1_ NC_006394 155300
GCF_000011085.1_ASM1108v1_ NC_006395 410554
GCF_000011525.1_ASM1152v1_ NC_005951 20652
GCF_000011685.1_ASM1168v1_ NC_006672 163186
GCF_000011685.1_ASM1168v1_ NC_006673 26568
GCF_000011685.1_ASM1168v1_ NC_006674 14547
GCF_000011685.1_ASM1168v1_ NC_006675 13223
GCF_000011685.1_ASM1168v1_ NC_006676 2687
GCF_000011785.1_ASM1178v1_ NC_006298 5178
GCF_000011805.1_ASM1180v1_ NC_006842 45849
GCF_000011925.1_ASM1192v1_ NC_006663 27310
GCF_000011965.2_ASM1196v2_ NC_006569 491611
GCF_000012005.1_ASM1200v1_ NC_009344 8953
GCF_000012005.1_ASM1200v1_ NC_007607 182726
GCF_000012045.1_ASM1204v1_ NC_006629 4440
GCF_000012125.1_ASM1212v1_ NC_007430 7510
GCF_000012145.1_ASM1214v1_ NC_007110 62829
GCF_000012145.1_ASM1214v1_ NC_007111 39263
GCF_000012225.1_ASM1222v1_ NC_007717 3972
GCF_000012225.1_ASM1222v1_ NC_007718 4009
GCF_000012225.1_ASM1222v1_ NC_007719 5104
GCF_000012225.1_ASM1222v1_ NC_007720 4316
GCF_000012525.1_ASM1252v1_ NC_007595 46366
GCF_000012805.1_ASM1280v1_ NC_007483 40420
GCF_000013045.1_ASM1304v1_ NC_007678 35505
GCF_000013085.1_ASM1308v1_ NC_007641 53732
GCF_000013245.1_ASM1324v1_ NC_008087 9370
GCF_000013265.1_ASM1326v1_ NC_007941 114230
GCF_000013465.1_ASM1346v1_ NC_007790 3125
GCF_000013465.1_ASM1346v1_ NC_007791 4439
GCF_000013465.1_ASM1346v1_ NC_007792 37136
GCF_000013565.1_ASM1356v1_ NC_007801 86072
GCF_000013605.1_ASM1360v1_ NC_007901 257447
GCF_000013925.1_ASM1392v2_ NC_005916 174155
GCF_000013985.1_ASM1398v1_ NC_008036 28543
GCF_000014045.1_ASM1404v1_ NC_008386 106469
GCF_000014045.1_ASM1404v1_ NC_008387 69269
GCF_000014045.1_ASM1404v1_ NC_008388 16575
GCF_000014045.1_ASM1404v1_ NC_008389 5824
GCF_000014065.1_ASM1406v1_ NC_008043 821788
GCF_000014065.1_ASM1406v1_ NC_008042 130973
GCF_000014445.1_ASM1444v1_ NC_008496 37367
GCF_000014485.1_ASM1448v1_ NC_008500 4449
GCF_000014485.1_ASM1448v1_ NC_008501 3361
GCF_000014525.1_ASM1452v1_ NC_008502 29061
GCF_000014545.1_ASM1454v1_ NC_008503 14041
GCF_000014545.1_ASM1454v1_ NC_008504 9554
GCF_000014545.1_ASM1454v1_ NC_008505 74750
GCF_000014545.1_ASM1454v1_ NC_008506 47208
GCF_000014545.1_ASM1454v1_ NC_008507 14206
GCF_000014765.1_ASM1476v1_ NC_008341 65132
GCF_000014765.1_ASM1476v1_ NC_008342 55635
GCF_000014845.1_ASM1484v1_ NC_009837 174241
GCF_000014845.1_ASM1484v1_ NC_009838 241387
GCF_000015065.1_ASM1506v1_ NC_008598 55939
GCF_000015165.1_ASM1516v1_ NC_009475 228826
GCF_000015225.1_ASM1522v1_ NC_008696 31504
GCF_000015485.1_ASM1548v1_ NC_008741 198504
GCF_000015525.1_ASM1552v1_ NC_008790 45025
GCF_000015525.1_ASM1552v1_ NC_008770 37473
GCF_000015845.1_ASM1584v1_ NC_009035 116763
GCF_000015845.1_ASM1584v1_ NC_009036 74000
GCF_000015845.1_ASM1584v1_ NC_009037 16762
GCF_000015845.1_ASM1584v1_ NC_009038 7995
GCF_000016125.1_ASM1612v1_ NC_009136 8285
GCF_000016445.1_ASM1644v1_ NC_009377 71507
GCF_000016445.1_ASM1644v1_ NC_009378 137010
GCF_000016625.1_ASM1662v1_ NC_009897 15286
GCF_000016805.1_ASM1680v1_ NC_009477 30429
GCF_000016945.1_ASM1694v1_ NC_009705 153140
GCF_000016945.1_ASM1694v1_ NC_009704 58679
GCF_000017065.1_ASM1706v1_ NC_009700 17531
GCF_000017085.1_ASM1708v1_ NC_012417 3125
GCF_000017085.1_ASM1708v1_ NC_010063 27041
GCF_000017105.1_ASM1710v1_ NC_009726 54179
GCF_000017125.1_ASM1712v1_ NC_009619 30429
GCF_000017145.1_ASM1714v1_ NC_009620 1570951
GCF_000017145.1_ASM1714v1_ NC_009621 1245408
GCF_000017145.1_ASM1714v1_ NC_009622 219313
GCF_000017265.1_ASM1726v1_ NC_011143 382976
GCF_000017325.1_ASM1732v1_ NC_009661 83224
GCF_000017585.1_ASM1758v1_ NC_009713 3678
GCF_000017665.1_ASM1766v1_ NC_009779 31208
GCF_000017665.1_ASM1766v1_ NC_009780 131196
GCF_000017705.1_ASM1770v1_ NC_009777 89008
GCF_000017745.1_ASM1774v1_ NC_009787 34367
GCF_000017745.1_ASM1774v1_ NC_009791 5033
GCF_000017745.1_ASM1774v1_ NC_009789 6199
GCF_000017745.1_ASM1774v1_ NC_009788 70609
GCF_000017745.1_ASM1774v1_ NC_009790 74224
GCF_000017745.1_ASM1774v1_ NC_009786 79237
GCF_000017845.1_ASM1784v1_ NC_010539 39620
GCF_000017845.1_ASM1784v1_ NC_010541 31856
GCF_000017845.1_ASM1784v1_ NC_010542 14685
GCF_000017845.1_ASM1784v1_ NC_010543 10244
GCF_000018105.1_ASM1810v1_ NC_009926 374161
GCF_000018105.1_ASM1810v1_ NC_009927 356087
GCF_000018105.1_ASM1810v1_ NC_009928 273121
GCF_000018105.1_ASM1810v1_ NC_009929 226680
GCF_000018105.1_ASM1810v1_ NC_009930 177162
GCF_000018105.1_ASM1810v1_ NC_009931 172728
GCF_000018105.1_ASM1810v1_ NC_009932 155110
GCF_000018105.1_ASM1810v1_ NC_009933 120693
GCF_000018105.1_ASM1810v1_ NC_009934 2133
GCF_000018145.1_ASM1814v1_ NC_009955 190506
GCF_000018145.1_ASM1814v1_ NC_009956 152970
GCF_000018145.1_ASM1814v1_ NC_009957 126304
GCF_000018145.1_ASM1814v1_ NC_009958 86208
GCF_000018145.1_ASM1814v1_ NC_009959 72296
GCF_000018345.1_ASM1834v1_ NC_010604 23317
GCF_000018385.1_ASM1838v1_ NC_012124 55414
GCF_000018445.1_ASM1844v1_ NC_010605 28279
GCF_000018445.1_ASM1844v1_ NC_010606 64366
GCF_000018545.1_ASM1854v1_ NC_000914 536165
GCF_000018545.1_ASM1854v1_ NC_012586 2430033
GCF_000018745.1_ASM1874v1_ NC_010115 37317
GCF_000018765.1_ASM1876v1_ NC_009998 75605
GCF_000018765.1_ASM1876v1_ NC_009999 75508
GCF_000018765.1_ASM1876v1_ NC_010000 49148
GCF_000018805.1_ASM1880v1_ NC_010157 68190
GCF_000018805.1_ASM1880v1_ NC_010158 114570
GCF_000019245.4_ASM1924v3_ NC_011352 36487
GCF_000019485.1_ASM1948v1_ NC_010476 4809
GCF_000019485.1_ASM1948v1_ NC_010477 16103
GCF_000019485.1_ASM1948v1_ NC_010478 31972
GCF_000019485.1_ASM1948v1_ NC_010479 38515
GCF_000019485.1_ASM1948v1_ NC_010480 124030
GCF_000019485.1_ASM1948v1_ NC_010474 186459
GCF_000019565.1_ASM1956v1_ NC_011282 187922
GCF_000019565.1_ASM1956v1_ NC_011281 91096
GCF_000019645.1_ASM1964v1_ NC_010488 130440
GCF_000019645.1_ASM1964v1_ NC_010487 3565
GCF_000019645.1_ASM1964v1_ NC_010486 4074
GCF_000019645.1_ASM1964v1_ NC_010485 8909
GCF_000019685.1_ASM1968v1_ NC_011224 11226
GCF_000019685.1_ASM1968v1_ NC_011226 15049
GCF_000019685.1_ASM1968v1_ NC_011247 163884
GCF_000019685.1_ASM1968v1_ NC_011257 23303
GCF_000019685.1_ASM1968v1_ NC_011259 23036
GCF_000019685.1_ASM1968v1_ NC_011261 26917
GCF_000019685.1_ASM1968v1_ NC_011265 27476
GCF_000019685.1_ASM1968v1_ NC_011245 28343
GCF_000019685.1_ASM1968v1_ NC_011262 31021
GCF_000019685.1_ASM1968v1_ NC_011264 31663
GCF_000019685.1_ASM1968v1_ NC_011248 35286
GCF_000019685.1_ASM1968v1_ NC_011249 35831
GCF_000019685.1_ASM1968v1_ NC_011250 40353
GCF_000019685.1_ASM1968v1_ NC_011251 41259
GCF_000019685.1_ASM1968v1_ NC_011254 42153
GCF_000019685.1_ASM1968v1_ NC_011256 66407
GCF_000019705.1_ASM1970v1_ NC_011246 123937
GCF_000019705.1_ASM1970v1_ NC_011252 22945
GCF_000019705.1_ASM1970v1_ NC_011253 33213
GCF_000019705.1_ASM1970v1_ NC_011255 35315
GCF_000019705.1_ASM1970v1_ NC_011258 36869
GCF_000019705.1_ASM1970v1_ NC_011260 52772
GCF_000019705.1_ASM1970v1_ NC_011263 6131
GCF_000019885.1_ASM1988v1_ NC_011526 39280
GCF_000020005.1_ASM2000v1_ NC_010715 17207
GCF_000020005.1_ASM2000v1_ NC_010724 8689
GCF_000020105.1_ASM2010v1_ NC_011034 4153
GCF_000020165.1_ASM2016v1_ NC_010680 47642
GCF_000020365.1_ASM2036v1_ NC_012109 68709
GCF_000020405.1_ASM2040v1_ NC_010941 4236
GCF_000020405.1_ASM2040v1_ NC_010942 5685
GCF_000020405.1_ASM2040v1_ NC_010940 3533
GCF_000020625.1_ASM2062v1_ NC_011061 66772
GCF_000020865.1_ASM2086v1_ NC_013509 43703
GCF_000021125.1_ASM2112v1_ NC_011351 37452
GCF_000021125.1_ASM2112v1_ NC_011350 94644
GCF_000021165.1_ASM2116v1_ NC_011334 10031
GCF_000021245.2_ASM2124v2_ NC_011585 8731
GCF_000021405.1_ASM2140v1_ NC_011724 26514
GCF_000021405.1_ASM2140v1_ NC_011731 30330
GCF_000021405.1_ASM2140v1_ NC_011735 29806
GCF_000021405.1_ASM2140v1_ NC_011720 48168
GCF_000021405.1_ASM2140v1_ NC_011736 30964
GCF_000021405.1_ASM2140v1_ NC_011722 30467
GCF_000021405.1_ASM2140v1_ NC_011782 17266
GCF_000021405.1_ASM2140v1_ NC_011783 24326
GCF_000021405.1_ASM2140v1_ NC_011780 23422
GCF_000021405.1_ASM2140v1_ NC_011779 29758
GCF_000021405.1_ASM2140v1_ NC_011781 28414
GCF_000021405.1_ASM2140v1_ NC_011785 28885
GCF_000021405.1_ASM2140v1_ NC_011778 36852
GCF_000021405.1_ASM2140v1_ NC_011784 53615
GCF_000021445.1_ASM2144v1_ NC_012579 181773
GCF_000021445.1_ASM2144v1_ NC_012577 94875
GCF_000021465.1_ASM2146v1_ NC_011499 10225
GCF_000021525.1_ASM2152v1_ NC_012732 26406
GCF_000021565.1_ASM2156v1_ NC_012439 53682
GCF_000021665.1_ASM2166v1_ NC_011664 88311
GCF_000021665.1_ASM2166v1_ NC_011668 65448
GCF_000021665.1_ASM2166v1_ NC_011665 59223
GCF_000021685.1_ASM2168v1_ NC_011961 917738
GCF_000022105.1_ASM2210v1_ NC_012226 35940
GCF_000022205.1_ASM2220v1_ NC_012030 431338
GCF_000022225.1_ASM2222v1_ NC_013010 94601
GCF_000022325.1_ASM2232v1_ NC_012036 8291
GCF_000022325.1_ASM2232v1_ NC_012037 3653
GCF_000022485.1_ASM2248v1_ NC_012624 42245
GCF_000022605.2_ASM2260v1_ NC_015679 4085
GCF_000022685.1_ASM2268v1_ NC_012811 1261460
GCF_000022685.1_ASM2268v1_ NC_012807 44195
GCF_000022685.1_ASM2268v1_ NC_012809 37858
GCF_000022685.1_ASM2268v1_ NC_012810 24943
GCF_000022725.1_ASM2272v1_ NC_012847 28192
GCF_000022805.1_ASM2280v1_ NC_017153 68342
GCF_000022805.1_ASM2280v1_ NC_017155 94249
GCF_000022805.1_ASM2280v1_ NC_017156 9611
GCF_000022825.1_ASM2282v1_ NC_017157 69665
GCF_000022825.1_ASM2282v1_ NC_017158 96046
GCF_000022825.1_ASM2282v1_ NC_017159 9608
GCF_000022845.1_ASM2284v1_ NC_014017 68342
GCF_000022845.1_ASM2284v1_ NC_014022 94251
GCF_000022845.1_ASM2284v1_ NC_014027 9609
GCF_000022905.1_ASM2290v1_ NC_010813 29037
GCF_000023005.1_ASM2300v1_ NC_012634 12377
GCF_000023385.1_ASM2338v1_ NC_012794 33899
GCF_000023385.1_ASM2338v1_ NC_012790 10287
GCF_000023745.1_ASM2374v1_ NC_012970 76680
GCF_000023745.1_ASM2374v1_ NC_012972 9816
GCF_000023785.1_ASM2378v1_ NC_012983 84492
GCF_000023985.1_ASM2398v1_ NC_013157 22190
GCF_000024105.1_ASM2410v1_ NC_013164 115566
GCF_000024145.1_ASM2414v1_ NC_017286 7530
GCF_000024285.1_ASM2428v1_ NC_013206 91726
GCF_000024285.1_ASM2428v1_ NC_013207 87298
GCF_000024285.1_ASM2428v1_ NC_013208 7907
GCF_000024325.1_ASM2432v1_ NC_013224 45263
GCF_000024405.1_ASM2440v1_ NC_013518 54160
GCF_000024405.1_ASM2440v1_ NC_013519 13648
GCF_000024565.1_ASM2456v1_ NC_013516 10702
GCF_000024585.1_ASM2458v1_ NC_013453 17256
GCF_000024585.1_ASM2458v1_ NC_013451 1442
GCF_000024585.1_ASM2458v1_ NC_013452 4440
GCF_000024605.1_ASM2460v1_ NC_013386 27830
GCF_000024625.1_ASM2462v1_ NC_013408 10704
GCF_000024625.1_ASM2462v1_ NC_013409 4704
GCF_000024725.1_ASM2472v1_ NC_013958 65833
GCF_000024785.1_ASM2478v1_ NC_013442 81410
GCF_000024845.1_ASM2484v1_ NC_013502 125133
GCF_000025045.1_ASM2504v1_ NC_013657 37510
GCF_000025285.1_ASM2528v1_ NC_013742 2801
GCF_000025425.1_ASM2542v1_ NC_017284 37174
GCF_000025485.1_ASM2548v1_ NC_013852 102242
GCF_000025485.1_ASM2548v1_ NC_013862 39929
GCF_000025525.1_ASM2552v1_ NC_013888 12197
GCF_000025545.1_ASM2554v1_ NC_013930 240256
GCF_000025565.1_ASM2556v1_ NC_014107 199562
GCF_000025565.1_ASM2556v1_ NC_014108 84653
GCF_000025625.1_ASM2562v1_ NC_013923 378348
GCF_000025625.1_ASM2562v1_ NC_013924 254950
GCF_000025625.1_ASM2562v1_ NC_013925 58487
GCF_000025945.1_ASM2594v1_ NC_006139 121587
GCF_000025945.1_ASM2594v1_ NC_006140 14664
GCF_000025985.1_ASM2598v1_ NC_006873 36560
GCF_000026045.1_ASM2604v1_ NC_007427 130989
GCF_000026045.1_ASM2604v1_ NC_007428 23486
GCF_000026225.1_ASM2622v1_ NC_011743 55150
GCF_000026285.1_ASM2628v2_ NC_011747 133853
GCF_000026405.1_ASM2640v1_ NC_010470 38713
GCF_000026405.1_ASM2640v1_ NC_010466 31463
GCF_000026405.1_ASM2640v1_ NC_010467 17971
GCF_000026405.1_ASM2640v1_ NC_010469 12183
GCF_000026445.2_ASM2644v2_ NC_011355 190588
GCF_000026525.1_ASM2652v1_ NC_013200 64508
GCF_000026545.1_ASM2654v1_ NC_011602 6147
GCF_000026545.1_ASM2654v1_ NC_011603 97978
GCF_000026745.1_ASM2674v1_ NC_012923 24579
GCF_000027045.1_ASM2704v1_ NC_017352 29585
GCF_000027045.1_ASM2704v1_ NC_017332 3011
GCF_000027065.2_ASM2706v1_ NC_013283 138339
GCF_000027065.2_ASM2706v1_ NC_013284 22448
GCF_000027065.2_ASM2706v1_ NC_013285 53842
GCF_000027085.1_ASM2708v1_ NC_013717 54449
GCF_000027085.1_ASM2708v1_ NC_013718 39265
GCF_000027085.1_ASM2708v1_ NC_013719 3910
GCF_000027125.1_ASM2712v1_ NC_017627 113346
GCF_000055945.1_ASM5594v1_ NC_008012 27048
GCF_000055945.1_ASM5594v1_ NC_008013 39794
GCF_000055945.1_ASM5594v1_ NC_008014 194553
GCF_000063585.1_ASM6358v1_ NC_009496 16344
GCF_000067045.1_ASM6704v1_ NC_010124 38818
GCF_000067045.1_ASM6704v1_ NC_010123 16610
GCF_000069025.1_ASM6902v1_ NC_010366 147625
GCF_000069025.1_ASM6902v1_ NC_010369 194963
GCF_000069025.1_ASM6902v1_ NC_010368 284332
GCF_000069025.1_ASM6902v1_ NC_010367 40894
GCF_000069185.1_ASM6918v1_ NC_010394 23319
GCF_000069225.1_ASM6922v1_ NC_010399 50350
GCF_000069225.1_ASM6922v1_ NC_010408 94791
GCF_000069245.1_ASM6924v1_ NC_010401 5644
GCF_000069245.1_ASM6924v1_ NC_010402 9661
GCF_000069245.1_ASM6924v1_ NC_010404 94413
GCF_000069245.1_ASM6924v1_ NC_010403 2726
GCF_000090405.2_ASM9040v2_ NC_014026 11229
GCF_000090405.2_ASM9040v2_ NC_014028 56529
GCF_000090405.2_ASM9040v2_ NC_014030 61373
GCF_000090405.2_ASM9040v2_ NC_014157 84340
GCF_000090965.1_ASM9096v1_ NC_011878 6054
GCF_000091005.1_ASM9100v1_ NC_013369 85167
GCF_000091005.1_ASM9100v1_ NC_013362 63365
GCF_000091005.1_ASM9100v1_ NC_013363 5686
GCF_000091005.1_ASM9100v1_ NC_014543 4073
GCF_000091405.1_ASM9140v1_ NC_013505 25652
GCF_000091405.1_ASM9140v1_ NC_012552 3471
GCF_000091545.1_ASM9154v1_ NC_006462 256992
GCF_000091545.1_ASM9154v1_ NC_006463 9322
GCF_000091665.1_ASM9166v1_ NC_001732 58407
GCF_000091665.1_ASM9166v1_ NC_001733 16550
GCF_000092105.1_ASM9210v1_ NC_014149 37010
GCF_000092125.1_ASM9212v1_ NC_014213 347854
GCF_000092125.1_ASM9212v1_ NC_014214 124421
GCF_000092345.1_ASM9234v1_ NC_017298 17531
GCF_000092485.1_ASM9248v1_ NC_017435 7493
GCF_000092505.1_ASM9250v1_ NC_014131 21055
GCF_000092505.1_ASM9250v1_ NC_014132 23275
GCF_000092505.1_ASM9250v1_ NC_014133 21924
GCF_000092505.1_ASM9250v1_ NC_014134 29616
GCF_000092505.1_ASM9250v1_ NC_014135 3196
GCF_000092785.1_ASM9278v1_ NC_014226 15593
GCF_000093005.1_ASM9300v1_ NC_017433 7493
GCF_000093065.1_ASM9306v1_ NC_013962 7737
GCF_000093165.1_ASM9316v1_ NC_013419 3448
GCF_000093185.1_ASM9318v1_ NC_017383 7326
GCF_000143085.1_ASM14308v1_ NC_014316 39105
GCF_000143085.1_ASM14308v1_ NC_014317 5611
GCF_000143605.1_ASM14360v1_ NC_014333 14219
GCF_000143605.1_ASM14360v1_ NC_014331 181907
GCF_000143605.1_ASM14360v1_ NC_014332 94469
GCF_000144955.1_ASM14495v1_ NC_017339 20730
GCF_000145035.1_ASM14503v1_ NC_014390 186325
GCF_000145035.1_ASM14503v1_ NC_014389 361399
GCF_000145295.1_ASM14529v1_ NC_014409 4440
GCF_000146025.2_ASM14602v1_ NC_020420 11650
GCF_000146025.2_ASM14602v1_ NC_020421 5701
GCF_000146025.2_ASM14602v1_ NC_020422 5362
GCF_000146305.1_ASM14630v1_ NC_017318 44194
GCF_000147715.2_ASM14771v3_ NC_017935 1724
GCF_000147735.2_ASM14773v3_ NC_017570 72392
GCF_000147735.2_ASM14773v3_ NC_017572 60958
GCF_000147855.2_ASM14785v3_ NC_016904 103795
GCF_000147855.2_ASM14785v3_ NC_016903 5360
GCF_000148365.1_ASM14836v1_ NC_017629 1564
GCF_000148405.1_ASM14840v1_ NC_017561 26180
GCF_000148605.1_ASM14860v1_ NC_017630 114550
GCF_000148815.2_ASM14881v1_ NC_014558 53560
GCF_000148875.1_ASM14887v1_ NC_014556 8712
GCF_000148915.1_ASM14891v1_ NC_017356 7228
GCF_000148935.1_ASM14893v1_ NC_014561 167983
GCF_000148935.1_ASM14893v1_ NC_014563 165693
GCF_000148935.1_ASM14893v1_ NC_014258 529676
GCF_000151105.2_ASM15110v2_ NC_015471 54159
GCF_000154745.2_ASM15474v2_ NC_018421 237766
GCF_000154745.2_ASM15474v2_ NC_018422 70384
GCF_000154745.2_ASM15474v2_ NC_018423 94494
GCF_000154765.2_ASM15476v2_ NC_018291 261820
GCF_000154765.2_ASM15476v2_ NC_018288 65245
GCF_000154765.2_ASM15476v2_ NC_018287 78238
GCF_000154785.2_ASM15478v2_ NC_015729 63532
GCF_000154785.2_ASM15478v2_ NC_015728 83129
GCF_000154785.2_ASM15478v2_ NC_015741 93578
GCF_000155515.2_ASM15551v2_ NC_022114 24207
GCF_000155515.2_ASM15551v2_ NC_022123 62119
GCF_000155675.2_ASM15567v2_ NC_020907 62881
GCF_000155735.2_ASM15573v2_ NC_020909 118287
GCF_000155735.2_ASM15573v2_ NC_020910 159683
GCF_000156855.2_ASM15685v2_ NC_022243 4153
GCF_000158275.2_ASM15827v2_ NZ_CP007063 6309
GCF_000159455.2_ASM15945v2_ NC_015699 7047
GCF_000159455.2_ASM15945v2_ NC_015700 12160
GCF_000159455.2_ASM15945v2_ NC_015701 19059
GCF_000159455.2_ASM15945v2_ NC_015698 14173
GCF_000159535.2_ASM15953v2_ NC_017345 24491
GCF_000160335.2_ASM16033v2_ NC_022126 20449
GCF_000163055.2_ASM16305v2_ NC_022111 1770419
GCF_000163915.2_ASM16391v2_ NZ_CP007066 15921
GCF_000166075.1_ASM16607v1_ NC_014651 71617
