Assembly Accession size
GCF_000008405.1_ASM840v1_ NC_006360 892758
GCF_000008465.1_ASM846v1_ NC_006512 2839318
GCF_000008485.1_ASM848v1_ NC_002942 3397754
GCF_000008505.1_ASM850v1_ NC_005957 5237682
GCF_000008525.1_ASM852v1_ NC_000915 1667867
GCF_000008545.1_ASM854v1_ NC_000853 1860725
GCF_000008585.1_ASM858v1_ NC_002755 4403837
GCF_000008625.1_ASM862v1_ NC_000918 1551335
GCF_000008645.1_ASM864v1_ NC_000916 1751377
GCF_000008665.1_ASM866v1_ NC_000917 2178400
GCF_000008685.2_ASM868v2_ NC_001318 910724
GCF_000008725.1_ASM872v1_ NC_000117 1042519
GCF_000008745.1_ASM874v1_ NC_000922 1230230
GCF_000008785.1_ASM878v1_ NC_000921 1643831
GCF_000008805.1_ASM880v1_ NC_003112 2272360
GCF_000008865.1_ASM886v1_ NC_002695 5498450
GCF_000008885.1_ASM888v1_ NC_004344 697724
GCF_000008925.1_ASM892v1_ NC_007929 1827111
GCF_000008945.1_ASM894v1_ NC_010816 2375792
GCF_000008985.1_ASM898v1_ NC_006570 1892775
GCF_000009005.1_ASM900v1_ NC_007622 2742531
GCF_000009065.1_ASM906v1_ NC_003143 4653728
GCF_000009085.1_ASM908v1_ NC_002163 1641481
GCF_000009105.1_ASM910v1_ NC_003116 2184406
GCF_000009185.1_ASM918v1_ NC_008212 3132494
GCF_000009205.2_ASM920v2_ NC_009089 4290252
GCF_000009305.1_ASM930v1_ NC_008229 1553927
GCF_000009345.1_ASM934v1_ NC_008800 4615899
GCF_000009365.1_ASM936v1_ NC_008260 3120143
GCF_000009385.1_ASM938v1_ NC_009332 1841271
GCF_000009405.1_ASM940v1_ NC_012121 2566424
GCF_000009425.1_ASM942v1_ NC_009004 2529478
GCF_000009445.1_ASM944v1_ NC_008769 4374522
GCF_000009465.1_ASM946v1_ NC_008767 2194961
GCF_000009485.1_ASM948v1_ NC_011000 3870082
GCF_000009485.1_ASM948v1_ NC_011001 3217062
GCF_000009485.1_ASM948v1_ NC_011002 875977
GCF_000009505.1_ASM950v1_ NC_011294 4685848
GCF_000009525.1_ASM952v1_ NC_011274 4658697
GCF_000009565.1_ASM956v1_ NC_012892 4558947
GCF_000009585.1_ASM958v1_ NC_017333 2872582
GCF_000009605.1_ASM960v1_ NC_002528 640681
GCF_000009645.1_ASM964v1_ NC_002745 2814816
GCF_000009665.1_ASM966v1_ NC_002758 2878529
GCF_000009725.1_ASM972v1_ NC_000911 3573470
GCF_000009745.1_ASM974v1_ NC_005139 3354505
GCF_000009745.1_ASM974v1_ NC_005140 1857073
GCF_000009785.1_ASM978v1_ NC_006510 3544776
GCF_000009845.1_ASM984v1_ NC_005303 853092
GCF_000009925.1_ASM992v1_ NC_006347 5277274
GCF_000009945.1_ASM994v1_ NC_007899 1166239
GCF_000009985.1_ASM998v1_ NC_007626 4967148
GCF_000010005.1_ASM1000v1_ NC_010609 2039414
GCF_000010025.1_ASM1002v1_ NC_007705 4940217
GCF_000010065.1_ASM1006v1_ NC_006576 2696255
GCF_000010085.1_ASM1008v1_ NC_007712 4171146
GCF_000010105.1_ASM1010v1_ NC_012490 6516310
GCF_000010125.1_ASM1012v1_ NC_007350 2516575
GCF_000010145.1_ASM1014v1_ NC_010610 2098685
GCF_000010185.1_ASM1018v1_ NC_010376 1797577
GCF_000010205.1_ASM1020v1_ NC_010793 2008987
GCF_000010245.2_ASM1024v1_ NC_007779 4646332
GCF_000010325.1_ASM1032v1_ NC_009662 1877931
GCF_000010345.1_ASM1034v1_ NC_009663 2562277
GCF_000010385.1_ASM1038v1_ NC_011415 4887515
GCF_000010405.1_ASM1040v1_ NC_009465 1022154
GCF_000010425.1_ASM1042v1_ NC_008618 2089645
GCF_000010445.1_ASM1044v1_ NC_009782 2880168
GCF_000010465.1_ASM1046v1_ NC_009641 2878897
GCF_000010485.1_ASM1048v1_ NC_013654 4717338
GCF_000010505.1_ASM1050v1_ NC_010729 2354886
GCF_000010525.1_ASM1052v1_ NC_009937 5369772
GCF_000010545.1_ASM1054v1_ NC_010804 3448421
GCF_000010545.1_ASM1054v1_ NC_010805 2473162
GCF_000010545.1_ASM1054v1_ NC_010801 919805
GCF_000010585.1_ASM1058v1_ NC_011999 2102324
GCF_000010625.1_ASM1062v1_ NC_010296 5842795
GCF_000010645.1_ASM1064v1_ NC_011565 1114206
GCF_000010705.1_ASM1070v1_ NC_012891 2106340
GCF_000010745.1_ASM1074v1_ NC_013353 5449314
GCF_000010765.1_ASM1076v1_ NC_013364 5371077
GCF_000010785.1_ASM1078v1_ NC_013799 1743135
GCF_000010985.1_ASM1098v1_ NC_013939 2234389
GCF_000011025.1_ASM1102v1_ NC_013715 2264603
GCF_000011045.1_ASM1104v1_ NC_017482 3005051
GCF_000011085.1_ASM1108v1_ NC_006396 3131724
GCF_000011085.1_ASM1108v1_ NC_006397 288050
GCF_000011105.1_ASM1110v1_ NC_000961 1738505
GCF_000011165.1_ASM1116v1_ NC_002491 1226565
GCF_000011205.1_ASM1120v1_ NC_003106 2694756
GCF_000011225.1_ASM1122v1_ NC_004432 1358633
GCF_000011265.1_ASM1126v1_ NC_003923 2820462
GCF_000011285.1_ASM1128v1_ NC_004606 1894275
GCF_000011325.1_ASM1132v1_ NC_003450 3309401
GCF_000011345.1_ASM1134v1_ NC_004113 2593857
GCF_000011405.1_ASM1140v1_ NC_017463 1895727
GCF_000011445.1_ASM1144v1_ NC_005364 1211703
GCF_000011465.1_ASM1146v1_ NC_005072 1657990
GCF_000011485.1_ASM1148v1_ NC_005071 2410873
GCF_000011505.1_ASM1150v1_ NC_002952 2902619
GCF_000011525.1_ASM1152v1_ NC_002953 2799802
GCF_000011585.1_ASM1158v1_ NC_005791 1661137
GCF_000011645.1_ASM1164v1_ NC_006270 4222597
GCF_000011665.1_ASM1166v1_ NC_006086 1899877
GCF_000011685.1_ASM1168v1_ NC_006677 2702173
GCF_000011705.1_ASM1170v1_ NC_006348 3510148
GCF_000011705.1_ASM1170v1_ NC_006349 2325379
GCF_000011725.1_ASM1172v1_ NC_017382 1589954
GCF_000011745.1_ASM1174v1_ NC_007292 791654
GCF_000011765.3_ASM1176v2_ NC_007297 1838562
GCF_000011785.1_ASM1178v1_ NC_008309 2007700
GCF_000011805.1_ASM1180v1_ NC_006840 2897536
GCF_000011805.1_ASM1180v1_ NC_006841 1330333
GCF_000011825.1_ASM1182v1_ NC_006448 1796846
GCF_000011845.1_ASM1184v1_ NC_006449 1796226
GCF_000011865.1_ASM1186v1_ NC_003912 1777831
GCF_000011925.1_ASM1192v1_ NC_002976 2616530
GCF_000011945.1_ASM1194v1_ NC_004842 1197687
GCF_000011965.2_ASM1196v2_ NC_003911 4109437
GCF_000011985.1_ASM1198v1_ NC_006814 1993560
GCF_000012005.1_ASM1200v1_ NC_007606 4369232
GCF_000012045.1_ASM1204v1_ NC_002951 2809422
GCF_000012125.1_ASM1212v1_ NC_007429 1044459
GCF_000012145.1_ASM1214v1_ NC_007109 1485148
GCF_000012165.1_ASM1216v1_ NC_007296 1897573
GCF_000012185.1_ASM1218v1_ NC_007146 1914490
GCF_000012225.1_ASM1222v1_ NC_007716 706569
GCF_000012245.1_ASM1224v1_ NC_007005 6093698
GCF_000012285.1_ASM1228v1_ NC_007181 2225959
GCF_000012325.1_ASM1232v1_ NC_003910 5373180
GCF_000012345.1_ASM1234v1_ NC_007205 1308759
GCF_000012385.1_ASM1238v1_ NC_007940 1522076
GCF_000012465.1_ASM1246v1_ NC_007335 1842899
GCF_000012505.1_ASM1250v1_ NC_007513 2234828
GCF_000012525.1_ASM1252v1_ NC_007604 2695903
GCF_000012565.1_ASM1256v1_ NC_007354 1315030
GCF_000012605.1_ASM1260v1_ NC_007520 2427734
GCF_000012625.1_ASM1262v1_ NC_007516 2510659
GCF_000012645.1_ASM1264v1_ NC_007577 1709204
GCF_000012705.1_ASM1270v1_ NC_007432 2127839
GCF_000012765.1_ASM1276v1_ NC_007633 1010023
GCF_000012805.1_ASM1280v1_ NC_007484 3481691
GCF_000012825.1_ASM1282v1_ NC_009614 5163189
GCF_000012845.1_ASM1284v1_ NC_009615 4811379
GCF_000012865.1_ASM1286v1_ NC_007503 2401520
GCF_000012965.1_ASM1296v1_ NC_007575 2201561
GCF_000012985.1_ASM1298v1_ NC_007645 7215267
GCF_000013005.1_ASM1300v1_ NC_007722 3052398
GCF_000013025.1_ASM1302v1_ NC_008358 3705021
GCF_000013045.1_ASM1304v1_ NC_007677 3551823
GCF_000013085.1_ASM1308v1_ NC_007643 4352825
GCF_000013125.1_ASM1312v1_ NC_007797 1471282
GCF_000013145.1_ASM1314v1_ NC_007799 1176248
GCF_000013185.1_ASM1318v1_ NC_007984 686194
GCF_000013225.1_ASM1322v1_ NC_007776 3046682
GCF_000013245.1_ASM1324v1_ NC_008086 1596366
GCF_000013265.1_ASM1326v1_ NC_007946 5065741
GCF_000013305.1_ASM1330v1_ NC_008253 4938920
GCF_000013405.1_ASM1340v1_ NC_007759 3179300
GCF_000013425.1_ASM1342v1_ NC_007795 2821361
GCF_000013445.1_ASM1344v1_ NC_007796 3544738
GCF_000013465.1_ASM1346v1_ NC_007793 2872769
GCF_000013485.1_ASM1348v1_ NC_008021 1836467
GCF_000013505.1_ASM1350v1_ NC_008022 1928252
GCF_000013545.1_ASM1354v1_ NC_008024 1937111
GCF_000013565.1_ASM1356v1_ NC_007802 4317977
GCF_000013605.1_ASM1360v1_ NC_007908 4712337
GCF_000013645.1_ASM1364v1_ NC_007951 4895836
GCF_000013645.1_ASM1364v1_ NC_007952 3363523
GCF_000013645.1_ASM1364v1_ NC_007953 1471779
GCF_000013665.1_ASM1366v1_ NC_007912 5057531
GCF_000013725.1_ASM1372v1_ NC_007955 2575032
GCF_000013765.1_ASM1376v1_ NC_007954 4545906
GCF_000013925.1_ASM1392v2_ NC_008611 5631606
GCF_000013985.1_ASM1398v1_ NC_008048 3345170
GCF_000014025.1_ASM1402v1_ NC_009850 2341251
GCF_000014045.1_ASM1404v1_ NC_008209 4133097
GCF_000014065.1_ASM1406v1_ NC_008044 3200938
GCF_000014085.1_ASM1408v1_ NC_008060 3294563
GCF_000014085.1_ASM1408v1_ NC_008061 2788459
GCF_000014085.1_ASM1408v1_ NC_008062 1196094
GCF_000014105.1_ASM1410v1_ NC_010120 2153416
GCF_000014205.1_ASM1420v1_ NC_009009 2388435
GCF_000014225.1_ASM1422v1_ NC_008228 5187005
GCF_000014265.1_ASM1426v1_ NC_008312 7750108
GCF_000014345.1_ASM1434v1_ NC_009879 1159772
GCF_000014365.2_ASM1436v2_ NC_008533 2046116
GCF_000014385.1_ASM1438v1_ NC_008528 1780517
GCF_000014405.1_ASM1440v1_ NC_008529 1856951
GCF_000014425.1_ASM1442v1_ NC_008530 1894360
GCF_000014445.1_ASM1444v1_ NC_008531 2038396
GCF_000014485.1_ASM1448v1_ NC_008532 1856368
GCF_000014505.1_ASM1450v1_ NC_008525 1832387
GCF_000014525.1_ASM1452v1_ NC_008526 2895264
GCF_000014545.1_ASM1454v1_ NC_008527 2438589
GCF_000014585.1_ASM1458v1_ NC_008319 2606748
GCF_000014605.1_ASM1460v1_ NC_008369 1895727
GCF_000014645.1_ASM1464v1_ NC_008601 1910031
GCF_000014665.1_ASM1466v1_ NC_008322 4792610
GCF_000014665.1_ASM1466v1_ NC_008320 6499
GCF_000014685.1_ASM1468v1_ NC_008321 4706287
GCF_000014705.1_ASM1470v1_ NC_008345 4845257
GCF_000014725.1_ASM1472v1_ NC_008346 2936195
GCF_000014745.1_ASM1474v1_ NC_008347 3368780
GCF_000014765.1_ASM1476v1_ NC_008344 2661057
GCF_000014785.1_ASM1478v1_ NC_008340 3275944
GCF_000014805.1_ASM1480v1_ NC_008570 4744448
GCF_000014845.1_ASM1484v1_ NC_008563 5082025
GCF_000014865.1_ASM1486v1_ NC_008576 4719581
GCF_000014885.1_ASM1488v1_ NC_011566 5396476
GCF_000014965.1_ASM1496v1_ NC_008554 4990251
GCF_000015005.1_ASM1500v1_ NC_008596 6988209
GCF_000015025.1_ASM1502v1_ NC_008578 2443540
GCF_000015065.1_ASM1506v1_ NC_008600 5257091
GCF_000015085.1_ASM1508v1_ NC_008599 1773615
GCF_000015105.1_ASM1510v1_ NC_008610 1160782
GCF_000015145.1_ASM1514v1_ NC_008818 1667163
GCF_000015165.1_ASM1516v1_ NC_009485 8264687
GCF_000015185.1_ASM1518v1_ NC_008750 4708380
GCF_000015205.1_ASM1520v1_ NC_008701 1826402
GCF_000015225.1_ASM1522v1_ NC_008698 1781889
GCF_000015285.1_ASM1528v1_ NC_008709 4559598
GCF_000015305.1_ASM1530v1_ NC_008726 6491865
GCF_000015345.1_ASM1534v1_ NC_009446 1389350
GCF_000015385.1_ASM1538v1_ NC_010080 2080931
GCF_000015445.1_ASM1544v1_ NC_008783 1445021
GCF_000015465.1_ASM1546v1_ NC_008785 3497479
GCF_000015465.1_ASM1546v1_ NC_008784 1734922
GCF_000015485.1_ASM1548v1_ NC_008751 3462887
GCF_000015525.1_ASM1552v1_ NC_008787 1616554
GCF_000015605.1_ASM1560v1_ NC_008836 3458208
GCF_000015605.1_ASM1560v1_ NC_008835 2284095
GCF_000015625.1_ASM1562v1_ NC_009080 3495687
GCF_000015625.1_ASM1562v1_ NC_009079 2352693
GCF_000015645.1_ASM1564v1_ NC_008816 1669886
GCF_000015665.1_ASM1566v1_ NC_008817 1704176
GCF_000015685.1_ASM1568v1_ NC_008819 1864731
GCF_000015765.1_ASM1576v1_ NC_008942 1804962
GCF_000015825.1_ASM1582v1_ NC_009051 2478101
GCF_000015845.1_ASM1584v1_ NC_009052 5127376
GCF_000015885.1_ASM1588v1_ NC_009053 2274482
GCF_000015945.1_ASM1594v1_ NC_009033 1570485
GCF_000015965.1_ASM1596v1_ NC_009091 1641879
GCF_000016065.1_ASM1606v1_ NC_009092 4602594
GCF_000016085.1_ASM1608v1_ NC_009337 1966858
GCF_000016105.1_ASM1610v1_ NC_009257 1898476
GCF_000016125.1_ASM1612v1_ NC_009135 1780761
GCF_000016145.1_ASM1614v1_ NC_009525 4419977
GCF_000016165.1_ASM1616v1_ NC_009253 3608104
GCF_000016185.1_ASM1618v1_ NC_011420 4355543
GCF_000016245.1_ASM1624v1_ NC_009456 1108250
GCF_000016245.1_ASM1624v1_ NC_009457 3024069
GCF_000016345.1_ASM1634v1_ NC_009379 2159490
GCF_000016445.1_ASM1644v1_ NC_009381 4517345
GCF_000016545.1_ASM1654v1_ NC_009437 2970275
GCF_000016605.1_ASM1660v1_ NC_009440 2191517
GCF_000016625.1_ASM1662v1_ NC_009900 1360898
GCF_000016665.1_ASM1666v1_ NC_009523 5801598
GCF_000016685.1_ASM1668v1_ NC_010278 2242062
GCF_000016785.1_ASM1678v1_ NC_009486 1823511
GCF_000016805.1_ASM1680v1_ NC_009487 2906700
GCF_000016825.1_ASM1682v1_ NC_009513 1999618
GCF_000016905.1_ASM1690v1_ NC_009616 1915238
GCF_000016945.1_ASM1694v1_ NC_009708 4723306
GCF_000016985.1_ASM1698v1_ NC_009633 4929566
GCF_000017005.1_ASM1700v1_ NC_009785 2196662
GCF_000017025.1_ASM1702v1_ NC_009697 3863450
GCF_000017065.1_ASM1706v1_ NC_009699 3995387
GCF_000017085.1_ASM1708v1_ NC_010079 2872915
GCF_000017105.1_ASM1710v1_ NC_009727 2158758
GCF_000017125.1_ASM1712v1_ NC_009632 2906507
GCF_000017145.1_ASM1714v1_ NC_009636 3781904
GCF_000017165.1_ASM1716v1_ NC_009634 1720048
GCF_000017185.1_ASM1718v1_ NC_009635 1569500
GCF_000017205.1_ASM1720v1_ NC_009656 6588339
GCF_000017225.1_ASM1722v1_ NC_009637 1772694
GCF_000017245.1_ASM1724v1_ NC_009655 2319663
GCF_000017265.1_ASM1726v1_ NC_011144 3996255
GCF_000017325.1_ASM1732v1_ NC_009665 5229686
GCF_000017445.4_ASM1744v3_ NC_010263 1268201
GCF_000017545.1_ASM1754v1_ NC_009718 1948941
GCF_000017565.1_ASM1756v1_ NC_009719 3914745
GCF_000017585.1_ASM1758v1_ NC_009714 1711273
GCF_000017665.1_ASM1766v1_ NC_009778 4368373
GCF_000017705.1_ASM1770v1_ NC_009783 3765351
GCF_000017705.1_ASM1770v1_ NC_009784 2204018
GCF_000017745.1_ASM1774v1_ NC_009801 4979619
GCF_000017765.1_ASM1776v1_ NC_009800 4643538
GCF_000017785.1_ASM1778v1_ NC_009749 1890909
GCF_000017805.1_ASM1780v1_ NC_009767 5723298
GCF_000017845.1_ASM1784v1_ NC_010546 4934271
GCF_000017845.1_ASM1784v1_ NC_010547 429701
GCF_000017865.1_ASM1786v1_ NC_009828 2135342
GCF_000017905.1_ASM1790v1_ NC_009839 1628115
GCF_000017945.1_ASM1794v1_ NC_009776 1297538
GCF_000018005.1_ASM1800v1_ NC_009921 8982042
GCF_000018025.1_ASM1802v1_ NC_009831 5517674
GCF_000018065.1_ASM1806v1_ NC_009840 1738790
GCF_000018105.1_ASM1810v1_ NC_009925 6503724
GCF_000018125.1_ASM1812v1_ NC_011375 1815785
GCF_000018145.1_ASM1814v1_ NC_009952 3789584
GCF_000018185.1_ASM1818v1_ NC_017617 2038034
GCF_000018205.1_ASM1820v1_ NC_009881 1231060
GCF_000018225.1_ASM1822v1_ NC_009882 1257710
GCF_000018245.1_ASM1824v1_ NC_009883 1528980
GCF_000018285.1_ASM1828v1_ NC_009901 5174581
GCF_000018305.1_ASM1830v1_ NC_009954 2077567
GCF_000018325.1_ASM1832v1_ NC_009922 3123558
GCF_000018345.1_ASM1834v1_ NC_010612 6636827
GCF_000018365.1_ASM1836v1_ NC_011529 1847607
GCF_000018385.1_ASM1838v1_ NC_012125 4833080
GCF_000018445.1_ASM1844v1_ NC_010611 3904116
GCF_000018485.1_ASM1848v1_ NC_009975 1744193
GCF_000018545.1_ASM1854v1_ NC_012587 3925702
GCF_000018605.1_ASM1860v1_ NC_010003 2169548
GCF_000018625.1_ASM1862v1_ NC_010067 4600800
GCF_000018705.1_ASM1870v1_ NC_010102 4858887
GCF_000018725.1_ASM1872v1_ NC_010742 2122487
GCF_000018725.1_ASM1872v1_ NC_010740 1161449
GCF_000018745.1_ASM1874v1_ NC_010117 2016427
GCF_000018765.1_ASM1876v1_ NC_009997 5347283
GCF_000018805.1_ASM1880v1_ NC_010159 4504254
GCF_000018865.1_ASM1886v1_ NC_010175 5258541
GCF_000018945.1_ASM1894v1_ NC_011978 1884562
GCF_000018965.1_ASM1896v1_ NC_012468 2184682
GCF_000018985.1_ASM1898v1_ NC_012466 2120234
GCF_000019005.1_ASM1900v1_ NC_012467 2111882
GCF_000019025.1_ASM1902v1_ NC_012469 2112148
GCF_000019045.1_ASM1904v1_ NC_011567 2846746
GCF_000019185.1_ASM1918v1_ NC_010334 5226917
GCF_000019245.4_ASM1924v3_ NC_014334 2861969
GCF_000019265.1_ASM1926v1_ NC_010380 2245615
GCF_000019325.1_ASM1932v1_ NC_010513 2475130
GCF_000019345.1_ASM1934v1_ NC_010503 751679
GCF_000019405.1_ASM1940v1_ NC_010519 2263857
GCF_000019485.1_ASM1948v1_ NC_010475 3008047
GCF_000019525.1_ASM1952v1_ NC_010506 5935403
GCF_000019565.1_ASM1956v1_ NC_011283 5641239
GCF_000019585.2_ASM1958v2_ NC_010717 5238555
GCF_000019605.1_ASM1960v1_ NC_010482 1590757
GCF_000019625.1_ASM1962v1_ NC_010483 1877693
GCF_000019645.1_ASM1964v1_ NC_010498 5068389
GCF_000019685.1_ASM1968v1_ NC_011229 931674
GCF_000019705.1_ASM1970v1_ NC_011244 930981
GCF_000019745.1_ASM1974v1_ NC_010531 1560469
GCF_000019825.1_ASM1982v1_ NC_011072 2078953
GCF_000019865.1_ASM1986v1_ NC_011527 2008870
GCF_000019885.1_ASM1988v1_ NC_011528 2063100
GCF_000019985.1_ASM1998v1_ NC_010582 2209198
GCF_000020005.1_ASM2000v1_ NC_010718 3165557
GCF_000020065.1_ASM2006v1_ NC_011025 820453
GCF_000020105.1_ASM2010v1_ NC_011035 2232025
GCF_000020145.1_ASM2014v1_ NC_010644 1643562
GCF_000020165.1_ASM2016v1_ NC_010674 3800327
GCF_000020225.1_ASM2022v1_ NC_010655 2664102
GCF_000020245.1_ASM2024v1_ NC_010698 1608548
GCF_000020285.1_ASM2028v1_ NC_010723 3659644
GCF_000020305.1_ASM2030v1_ NC_012026 1202435
GCF_000020365.1_ASM2036v1_ NC_012108 5589073
GCF_000020405.1_ASM2040v1_ NC_010939 2331981
GCF_000020425.1_ASM2042v1_ NC_011593 2832748
GCF_000020465.1_ASM2046v1_ NC_010803 2763181
GCF_000020485.1_ASM2048v1_ NC_011899 2578146
GCF_000020505.1_ASM2050v1_ NC_011027 2289249
GCF_000020525.1_ASM2052v1_ NC_011026 3293456
GCF_000020545.1_ASM2054v1_ NC_010831 2736403
GCF_000020565.1_ASM2056v1_ NC_010830 1884364
GCF_000020585.3_ASM2058v3_ NC_011138 4480937
GCF_000020605.1_ASM2060v1_ NC_012781 3449685
GCF_000020625.1_ASM2062v1_ NC_011059 2512923
GCF_000020645.1_ASM2064v1_ NC_011060 3018238
GCF_000020765.1_ASM2076v1_ NC_011134 2024171
GCF_000020785.1_ASM2078v1_ NC_011126 1559514
GCF_000020825.1_ASM2082v1_ NC_011206 2885038
GCF_000020865.1_ASM2086v1_ NC_013508 3760463
GCF_000020905.1_ASM2090v1_ NC_011766 1365223
GCF_000020945.1_ASM2094v1_ NC_011295 1424912
GCF_000020965.1_ASM2096v1_ NC_011297 1959987
GCF_000020985.1_ASM2098v1_ NC_011296 2003803
GCF_000021025.1_ASM2102v1_ NC_012559 3169329
GCF_000021065.1_ASM2106v1_ NC_011834 641895
GCF_000021085.1_ASM2108v1_ NC_011833 642122
GCF_000021125.1_ASM2112v1_ NC_011353 5572075
GCF_000021145.1_ASM2114v1_ NC_011595 3760981
GCF_000021165.1_ASM2116v1_ NC_011333 1652982
GCF_000021245.2_ASM2124v2_ NC_011586 4055148
GCF_000021265.1_ASM2126v1_ NC_011374 874478
GCF_000021285.1_ASM2128v1_ NC_011653 2016657
GCF_000021365.1_ASM2136v1_ NC_011386 3745629
GCF_000021405.1_ASM2140v1_ NC_011728 906707
GCF_000021425.1_ASM2142v1_ NC_011835 1933695
GCF_000021445.1_ASM2144v1_ NC_012581 5230115
GCF_000021465.1_ASM2146v1_ NC_011498 1673813
GCF_000021525.1_ASM2152v1_ NC_012730 1288492
GCF_000021565.1_ASM2156v1_ NC_012440 1930284
GCF_000021605.1_ASM2160v1_ NC_012578 2892523
GCF_000021605.1_ASM2160v1_ NC_012580 1046382
GCF_000021625.1_ASM2162v1_ NC_012582 3024078
GCF_000021625.1_ASM2162v1_ NC_012583 1111222
GCF_000021645.1_ASM2164v1_ NC_011661 1855560
GCF_000021665.1_ASM2166v1_ NC_011663 5145902
GCF_000021685.1_ASM2168v1_ NC_011959 2003006
GCF_000021725.1_ASM2172v1_ NC_012115 1676444
GCF_000021905.1_ASM2190v1_ NC_011768 6517073
GCF_000021945.1_ASM2194v1_ NC_011831 4684931
GCF_000021985.1_ASM2198v1_ NC_011901 3464554
GCF_000022005.1_ASM2200v1_ NC_011916 4042929
GCF_000022105.1_ASM2210v1_ NC_012225 3000694
GCF_000022125.1_ASM2212v1_ NC_011883 2873437
GCF_000022185.1_ASM2218v1_ NC_012032 5268950
GCF_000022205.1_ASM2220v1_ NC_012029 2735295
GCF_000022205.1_ASM2220v1_ NC_012028 525943
GCF_000022225.1_ASM2222v1_ NC_013008 5528136
GCF_000022285.1_ASM2228v1_ NC_012416 1445873
GCF_000022325.1_ASM2232v1_ NC_012034 2919718
GCF_000022345.1_ASM2234v1_ NC_012759 4578159
GCF_000022365.1_ASM2236v1_ NC_012804 2045438
GCF_000022385.1_ASM2238v1_ NC_012589 2736272
GCF_000022405.1_ASM2240v1_ NC_012588 2608832
GCF_000022465.1_ASM2246v1_ NC_012622 2702058
GCF_000022485.1_ASM2248v1_ NC_012623 2812165
GCF_000022525.1_ASM2252v1_ NC_013009 879977
GCF_000022545.1_ASM2254v1_ NC_012883 1845800
GCF_000022585.1_ASM2258v1_ NC_012668 3149584
GCF_000022585.1_ASM2258v1_ NC_012667 1086784
GCF_000022605.2_ASM2260v1_ NC_013454 636850
