Gene,Sample,Protein accession,e.value,Score,NCBI.ID,Alignment length,Percent alignment
mexC,Plasmid,WP_028854053.1,1.5e-259,864.1,NZ_CM002758.1,384,0.997402597402597
tetQ,Plasmid,WP_025430445.1,1.4e-95,324.5,NZ_CP007239.1,607,0.923896499238965
adeB,Plasmid,WP_025398354.1,0,1370.2,NZ_CP007049.1,1030,0.995169082125604
ClassA,Plasmid,WP_025368620.1,3.7e-122,410.6,NZ_CP004000.1,288,0.979591836734694
CEP,Plasmid,WP_025368619.1,4e-182,609.6,NZ_CP004000.1,412,0.990384615384615
adeB,Plasmid,WP_024315505.1,0,1433.7,NZ_HG916855.1,1029,0.994202898550725
ClassC,Plasmid,WP_024315280.1,4.5e-160,536,NZ_HG916855.1,363,0.942857142857143
ANT3,Plasmid,WP_024131607.1,1e-165,552.6,NC_009140.1,262,0.996197718631179
adeB,Plasmid,WP_023383545.1,0,1358.2,NC_022739.1,1039,1.00386473429952
adeB,Plasmid,WP_020953267.1,0,1376.8,NC_022044.1,1024,0.989371980676328
adeB,Plasmid,WP_020953145.1,0,1206.7,NC_022044.1,1024,0.989371980676328
adeB,Plasmid,WP_020952202.1,0,1286.5,NC_022049.1,1028,0.993236714975845
adeB,Plasmid,WP_020830131.1,0,1431,NC_021745.1,1034,0.999033816425121
CEP,Plasmid,WP_020753574.1,5.4e-152,510.3,NC_021734.1,405,0.973557692307692
adeB,Plasmid,WP_019719709.1,0,1016.2,NZ_CM002756.1,1038,1.00289855072464
adeB,Plasmid,WP_019719182.1,0,1575.6,NC_021745.1,1026,0.991304347826087
ClassC,Plasmid,WP_016809943.1,3.1e-176,589.2,NZ_CP007558.1,375,0.974025974025974
mexC,Plasmid,WP_016724368.1,5.4e-260,865.5,NC_021745.1,384,0.997402597402597
ClassA,Plasmid,WP_015445499.1,1.9e-94,319.7,NC_020527.1,277,0.942176870748299
ClassA,Plasmid,WP_015342891.1,6.5e-95,321.1,NC_020062.1,278,0.945578231292517
ClassC,Plasmid,WP_015342890.1,6.4e-168,561.9,NC_020062.1,360,0.935064935064935
adeB,Plasmid,WP_015342312.1,0,1364.9,NC_020062.1,1029,0.994202898550725
ClassC,Plasmid,WP_015243000.1,1.1e-169,567.6,NC_019849.2,374,0.971428571428571
adeB,Plasmid,WP_015242280.1,0,1431.2,NC_019848.2,1033,0.998067632850242
ANT9,Plasmid,WP_015241787.1,2.6e-62,213.8,NC_019848.2,248,0.953846153846154
ClassC,Plasmid,WP_015008235.1,2.9e-169,566.3,NC_018701.1,374,0.971428571428571
adeB,Plasmid,WP_014631695.1,0,1017,NC_017589.1,1037,1.00193236714976
adeB,Plasmid,WP_014631362.1,0,1439.9,NC_017589.1,1036,1.00096618357488
mexC,Plasmid,WP_014619701.1,2.4e-259,863.4,NC_017575.1,384,0.997402597402597
adeB,Plasmid,WP_014619363.1,0,1443.1,NC_017575.1,1037,1.00193236714976
adeB,Plasmid,WP_014619130.1,0,1016.4,NC_017575.1,1036,1.00096618357488
ClassA,Plasmid,WP_014531301.1,4.8e-94,318.3,NC_017327.1,277,0.942176870748299
ClassA,Plasmid,WP_014531301.1,4.8e-94,318.3,NC_018683.1,277,0.942176870748299
ANT9,Plasmid,WP_014530908.1,1.4e-64,221.3,NC_017327.1,248,0.953846153846154
ANT9,Plasmid,WP_014530908.1,1.4e-64,221.3,NC_018683.1,248,0.953846153846154
ANT9,Plasmid,WP_014528107.1,8.4e-62,212.1,NC_017324.1,248,0.953846153846154
ClassC,Plasmid,WP_014527113.1,7.5e-170,568.2,NC_017326.1,376,0.976623376623377
ClassC,Plasmid,WP_014527113.1,7.5e-170,568.2,NC_017323.1,376,0.976623376623377
adeB,Plasmid,WP_014416644.1,0,1317.1,NC_017060.1,1026,0.991304347826087
adeB,Plasmid,WP_014252060.1,0,1039.8,NC_016626.1,1024,0.989371980676328
adeB,Plasmid,WP_014250203.1,0,1469.7,NC_016624.1,1029,0.994202898550725
tetA,Plasmid,WP_014249925.1,2.7e-105,356,NC_016624.1,385,0.948275862068966
adeB,Plasmid,WP_014249583.1,1.1e-299,1000.4,NC_016623.1,1035,1
ClassA,Plasmid,WP_014241982.1,2.1e-100,339.2,NC_016618.1,265,0.901360544217687
adeB,Plasmid,WP_014199711.1,0,1459.1,NC_016596.1,1029,0.994202898550725
adeB,Plasmid,WP_014188764.1,0,1408.5,NC_016586.1,1033,0.998067632850242
adeB,Plasmid,WP_014188479.1,5.5e-300,1001.3,NC_016585.1,1025,0.990338164251208
ClassA,Plasmid,WP_014188004.1,2.8e-99,335.5,NC_016585.1,274,0.931972789115646
tetQ,Plasmid,WP_014151327.1,4.4e-94,319.5,NC_016113.1,627,0.954337899543379
tolC,Plasmid,WP_013959815.1,3.2e-82,280.3,NC_015727.1,434,0.988610478359909
ClassA,Plasmid,WP_013578129.1,3.2e-115,387.8,NC_015062.1,289,0.982993197278912
ClassA,Plasmid,WP_013578129.1,3.2e-115,387.8,NC_017060.1,289,0.982993197278912
adeB,Plasmid,WP_013578083.1,0,1318.7,NC_015062.1,1026,0.991304347826087
adeB,Plasmid,WP_013210193.1,0,1015.1,NC_014310.1,1042,1.00676328502415
adeB,Plasmid,WP_013209817.1,0,1449.7,NC_014310.1,1037,1.00193236714976
adeB,Plasmid,WP_012978400.1,0,1563.3,NC_013859.1,1025,0.990338164251208
mexC,Plasmid,WP_012978399.1,6.9e-184,615,NC_013859.1,380,0.987012987012987
adeB,Plasmid,WP_012978159.1,0,1456.8,NC_013859.1,1035,1
tetA,Plasmid,WP_012695206.1,2.4e-120,405.6,NC_012529.1,381,0.938423645320197
adeB,Plasmid,WP_012606139.1,0,1316.4,NC_011758.1,1029,0.994202898550725
qnr,Plasmid,WP_012579084.1,1.4e-132,443.4,NZ_CP007558.1,217,0.995412844036697
CEP,Plasmid,WP_012300772.1,6.3e-184,615.5,NC_009651.1,412,0.990384615384615
adeB,Plasmid,WP_011910672.1,0,1383.1,NC_009429.1,1017,0.982608695652174
adeB,Plasmid,WP_011518440.1,0,1468.3,NC_007974.2,1036,1.00096618357488
ermC,Plasmid,WP_011276921.1,2.1e-167,558,NC_007170.1,243,0.995901639344262
ANT9,Plasmid,WP_011212547.1,2.2e-49,171.4,NC_006365.1,250,0.961538461538462
CAT,Plasmid,WP_011152976.1,1.9e-86,292.4,NC_009651.1,208,0.95852534562212
ClassA,Plasmid,WP_011117369.1,1.8e-121,408.3,NZ_CP007558.1,284,0.965986394557823
adeB,Plasmid,WP_011004402.1,0,1015.4,NC_021745.1,1038,1.00289855072464
adeB,Plasmid,WP_011004402.1,0,1015.4,NC_003296.1,1038,1.00289855072464
adeB,Plasmid,WP_011004402.1,0,1015.4,NZ_CM002758.1,1038,1.00289855072464
adeB,Plasmid,WP_011004116.1,0,1432.6,NC_003296.1,1037,1.00193236714976
mexC,Plasmid,WP_011003625.1,9e-261,868.1,NC_003296.1,384,0.997402597402597
adeB,Plasmid,WP_011003624.1,0,1575.6,NC_003296.1,1026,0.991304347826087
adeB,Plasmid,WP_011003624.1,0,1575.6,NZ_CM002758.1,1026,0.991304347826087
ClassC,Plasmid,WP_010975881.1,7.3e-170,568.3,NC_020560.1,376,0.976623376623377
CAT,Plasmid,WP_010890745.1,5.8e-50,173.2,NC_015686.1,215,0.990783410138249
ClassA,Plasmid,WP_004199234.1,2.3e-111,375.2,NZ_CP003997.1,284,0.965986394557823
ClassA,Plasmid,WP_004199234.1,2.3e-111,375.2,NZ_CP007558.1,284,0.965986394557823
repA,Plasmid,WP_004118283.1,5.3e-100,337,NC_009651.1,228,0.95397489539749
ClassA,Plasmid,WP_002904004.1,2.9e-122,410.9,NZ_CP004000.1,284,0.965986394557823
ClassA,Plasmid,WP_002904004.1,2.9e-122,410.9,NC_009650.1,284,0.965986394557823
CAT,Plasmid,WP_002075262.1,7.7e-64,218.6,NC_021732.1,204,0.940092165898618
CAT,Plasmid,WP_002075262.1,7.7e-64,218.6,NC_021728.1,204,0.940092165898618
dfra1,Plasmid,WP_001830196.1,8.7e-99,331.3,NZ_CP004000.1,156,0.993630573248408
repA,Plasmid,WP_001749982.1,9.4e-160,532.6,NZ_CP007558.1,238,0.99581589958159
dfra1,Plasmid,WP_001348218.1,6.6e-78,263.4,NZ_CP007558.1,156,0.993630573248408
ANT3,Plasmid,WP_001261740.1,8.7e-165,549.5,NC_011092.1,262,0.996197718631179
ANT3,Plasmid,WP_001261740.1,8.7e-165,549.5,NC_006856.1,262,0.996197718631179
ANT3,Plasmid,WP_001261740.1,8.7e-165,549.5,NZ_CP004000.1,262,0.996197718631179
ANT6,Plasmid,WP_001255866.1,1.1e-169,566.3,NC_020274.1,281,0.975694444444444
ANT6,Plasmid,WP_001243407.1,2.8e-113,381.2,NC_011973.1,283,0.982638888888889
ANT3,Plasmid,WP_001206356.1,3.4e-165,550.8,NC_016861.1,262,0.996197718631179
ANT3,Plasmid,WP_001206356.1,3.4e-165,550.8,NC_006856.1,262,0.996197718631179
ANT3,Plasmid,WP_001206316.1,5.7e-166,553.4,NC_021732.1,262,0.996197718631179
ANT3,Plasmid,WP_001206316.1,5.7e-166,553.4,NC_011092.1,262,0.996197718631179
ANT3,Plasmid,WP_001206316.1,5.7e-166,553.4,NC_006856.1,262,0.996197718631179
ANT3,Plasmid,WP_001206316.1,5.7e-166,553.4,NC_021728.1,262,0.996197718631179
ANT3,Plasmid,WP_001206315.1,5.8e-164,546.8,NZ_CP004000.1,261,0.992395437262357
ANT3,Plasmid,WP_001206315.1,5.8e-164,546.8,NC_009650.1,261,0.992395437262357
tetD,Plasmid,WP_001089068.1,1.8e-154,518,NC_016825.1,382,0.969543147208122
dfra12,Plasmid,WP_001083725.1,1.2e-115,386.4,NC_016861.1,164,0.993939393939394
dfra12,Plasmid,WP_001083725.1,1.2e-115,386.4,NC_006856.1,164,0.993939393939394
strA,Plasmid,WP_001082319.1,4.7e-191,636.1,NC_011092.1,266,0.99625468164794
strA,Plasmid,WP_001082319.1,4.7e-191,636.1,NC_016862.1,266,0.99625468164794
strA,Plasmid,WP_001082319.1,4.7e-191,636.1,NC_009140.1,266,0.99625468164794
strA,Plasmid,WP_001082319.1,4.7e-191,636.1,NZ_CP007227.1,266,0.99625468164794
strA,Plasmid,WP_001082319.1,4.7e-191,636.1,NC_009651.1,266,0.99625468164794
strA,Plasmid,WP_001082319.1,4.7e-191,636.1,NZ_CP007228.1,266,0.99625468164794
strA,Plasmid,WP_001082319.1,4.7e-191,636.1,NC_016859.1,266,0.99625468164794
sul2,Plasmid,WP_001043260.1,3.5e-185,617.1,NC_011092.1,270,0.992647058823529
sul2,Plasmid,WP_001043260.1,3.5e-185,617.1,NC_016862.1,270,0.992647058823529
sul2,Plasmid,WP_001043260.1,3.5e-185,617.1,NC_009140.1,270,0.992647058823529
sul2,Plasmid,WP_001043260.1,3.5e-185,617.1,NC_009651.1,270,0.992647058823529
sul2,Plasmid,WP_001043260.1,3.5e-185,617.1,NZ_CP004000.1,270,0.992647058823529
sul2,Plasmid,WP_001043260.1,3.5e-185,617.1,NC_016859.1,270,0.992647058823529
tetD,Plasmid,WP_001039466.1,2.6e-266,886.3,NC_009651.1,393,0.99746192893401
CAT,Plasmid,WP_001011939.1,2.7e-89,301.8,NC_006856.1,212,0.976958525345622
CAT,Plasmid,WP_001011939.1,2.7e-89,301.8,NC_011092.1,212,0.976958525345622
ClassC,Plasmid,WP_000976514.1,5.1e-195,651.1,NC_009140.1,380,0.987012987012987
ClassC,Plasmid,WP_000976514.1,5.1e-195,651.1,NC_009140.1,380,0.987012987012987
ClassC,Plasmid,WP_000976514.1,5.1e-195,651.1,NC_006856.1,380,0.987012987012987
sul2,Plasmid,WP_000946487.1,4.3e-83,282.2,NZ_CP007558.1,258,0.948529411764706
intI,Plasmid,WP_000845054.1,1.1e-152,511,NC_009651.1,317,0.993730407523511
intI,Plasmid,WP_000845054.1,1.1e-152,511,NC_006856.1,317,0.993730407523511
intI,Plasmid,WP_000845054.1,1.1e-152,511,NC_009140.1,317,0.993730407523511
intI,Plasmid,WP_000845048.1,7.5e-153,511.6,NZ_CP007558.1,317,0.993730407523511
intI,Plasmid,WP_000845048.1,7.5e-153,511.6,NC_011092.1,317,0.993730407523511
intI,Plasmid,WP_000845048.1,7.5e-153,511.6,NC_006856.1,317,0.993730407523511
intI,Plasmid,WP_000845048.1,7.5e-153,511.6,NZ_CP004000.1,317,0.993730407523511
intI,Plasmid,WP_000845039.1,7.2e-152,508.4,NC_016861.1,317,0.993730407523511
intI,Plasmid,WP_000845039.1,7.2e-152,508.4,NZ_CP007558.1,317,0.993730407523511
intI,Plasmid,WP_000845039.1,7.2e-152,508.4,NZ_CP007558.1,317,0.993730407523511
tetA,Plasmid,WP_000804064.1,1.1e-208,696.5,NC_006856.1,396,0.975369458128079
tetA,Plasmid,WP_000804064.1,1.1e-208,696.5,NC_011092.1,396,0.975369458128079
tetA,Plasmid,WP_000804063.1,2.5e-208,695.3,NC_009140.1,395,0.972906403940887
ClassA,Plasmid,WP_000733274.1,3e-95,322.2,NC_020266.1,278,0.945578231292517
strB,Plasmid,WP_000480968.1,2.3e-197,657.3,NC_016862.1,277,0.996402877697842
strB,Plasmid,WP_000480968.1,2.3e-197,657.3,NC_009140.1,277,0.996402877697842
strB,Plasmid,WP_000480968.1,2.3e-197,657.3,NZ_CP007227.1,277,0.996402877697842
strB,Plasmid,WP_000480968.1,2.3e-197,657.3,NC_009651.1,277,0.996402877697842
strB,Plasmid,WP_000480968.1,2.3e-197,657.3,NZ_CP007228.1,277,0.996402877697842
strB,Plasmid,WP_000480968.1,2.3e-197,657.3,NC_016859.1,277,0.996402877697842
sul2,Plasmid,WP_000259032.1,4.3e-83,282.2,NZ_CP007558.1,260,0.955882352941177
sul2,Plasmid,WP_000259031.1,7.9e-83,281.4,NC_021732.1,257,0.944852941176471
sul2,Plasmid,WP_000259031.1,7.9e-83,281.4,NC_021728.1,257,0.944852941176471
sul2,Plasmid,WP_000259031.1,7.9e-83,281.4,NC_020562.1,257,0.944852941176471
sul2,Plasmid,WP_000259031.1,7.9e-83,281.4,NC_016861.1,257,0.944852941176471
sul2,Plasmid,WP_000259031.1,7.9e-83,281.4,NC_009651.1,257,0.944852941176471
sul2,Plasmid,WP_000259031.1,7.9e-83,281.4,NC_006856.1,257,0.944852941176471
sul2,Plasmid,WP_000259031.1,7.9e-83,281.4,NZ_CP007558.1,257,0.944852941176471
sul2,Plasmid,WP_000259031.1,7.9e-83,281.4,NZ_CP007558.1,257,0.944852941176471
sul2,Plasmid,WP_000259031.1,7.9e-83,281.4,NC_009140.1,257,0.944852941176471
sul2,Plasmid,WP_000259031.1,7.9e-83,281.4,NZ_CP004000.1,257,0.944852941176471
sul2,Plasmid,WP_000259031.1,7.9e-83,281.4,NZ_CP004000.1,257,0.944852941176471
CEP,Plasmid,WP_000214123.1,3.4e-165,553.8,NC_009140.1,403,0.96875
CEP,Plasmid,WP_000095725.1,4.3e-183,612.8,NC_011092.1,412,0.990384615384615
CEP,Plasmid,WP_000095725.1,4.3e-183,612.8,NC_006856.1,412,0.990384615384615
sul2,Plasmid,WP_000034420.1,1.1e-82,280.9,NC_011092.1,258,0.948529411764706
sul2,Plasmid,WP_000034420.1,1.1e-82,280.9,NC_006856.1,258,0.948529411764706
ClassA,Plasmid,WP_000027057.1,5.4e-122,410,NC_011092.1,284,0.965986394557823
ClassA,Plasmid,WP_000027057.1,5.4e-122,410,NC_009650.1,284,0.965986394557823
ClassA,Plasmid,WP_000027057.1,5.4e-122,410,NZ_CP004000.1,284,0.965986394557823
ClassA,Plasmid,WP_000027057.1,5.4e-122,410,NC_009651.1,284,0.965986394557823
ClassC,Bacterial genome,WFL_RS23065,6.4e-183,615.5,NC_017664,375,0.974025974025974
adeB,Bacterial genome,WFL_RS19315,0,1398.8,NC_017664,1032,0.997101449275362
adeB,Bacterial genome,WFL_RS18085,0,1460.1,NC_017664,1032,0.997101449275362
tolC,Bacterial genome,WFL_RS16920,2.2e-203,683.8,NC_017664,442,1.00683371298405
adeB,Bacterial genome,WFL_RS13820,0,1430.7,NC_017664,1029,0.994202898550725
adeB,Bacterial genome,WFL_RS02740,0,1474.5,NC_017664,1039,1.00386473429952
adeB,Bacterial genome,W5S_RS20745,0,1430.5,NC_017845,1029,0.994202898550725
adeB,Bacterial genome,W5S_RS15730,0,1493.8,NC_017845,1037,1.00193236714976
tolC,Bacterial genome,W5S_RS01690,1.7e-166,562.2,NC_017845,438,0.997722095671982
tolC,Bacterial genome,VEIS_RS11525,9.1e-94,322.6,NC_008786,432,0.984054669703872
