RefSoil ID,Taxon ID,Kingdom,Phylum,Organism,Contains.plasmid,length.phy,Source,NCBI.ID
RefSoil_33,221109,Bacteria,Firmicutes,Oceanobacillus iheyensis HTE831,FALSE,206,NCBI.ID,NC_004193
RefSoil_34,189518,Bacteria,Spirochaetes,Leptospira interrogans serovar Lai str. 56601,FALSE,12,NCBI.ID,NC_004342
RefSoil_35,211586,Bacteria,Gammaproteobacteria,Shewanella oneidensis MR-1,TRUE,193,NCBI.ID,NC_004347
RefSoil_36,196164,Bacteria,Actinobacteria,Corynebacterium efficiens YS-314,TRUE,117,NCBI.ID,NC_004369
RefSoil_37,224911,Bacteria,Alphaproteobacteria,Bradyrhizobium diazoefficiens USDA 110,FALSE,124,NCBI.ID,NC_004463
RefSoil_38,218491,Bacteria,Gammaproteobacteria,Pectobacterium atrosepticum SCRI1043,FALSE,193,NCBI.ID,NC_004547
RefSoil_39,218496,Bacteria,Actinobacteria,Tropheryma whipplei TW08/27,FALSE,117,NCBI.ID,NC_004551
RefSoil_40,183190,Bacteria,Gammaproteobacteria,Xylella fastidiosa Temecula1,TRUE,193,NCBI.ID,NC_004556
RefSoil_41,212717,Bacteria,Firmicutes,Clostridium tetani E88,TRUE,206,NCBI.ID,NC_004557
RefSoil_42,203267,Bacteria,Actinobacteria,Tropheryma whipplei str. Twist,FALSE,117,NCBI.ID,NC_004572
RefSoil_43,209261,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,FALSE,193,NCBI.ID,NC_004631
RefSoil_44,226186,Bacteria,Bacteroidetes,Bacteroides thetaiotaomicron VPI-5482,TRUE,19,NCBI.ID,NC_004663
RefSoil_45,226900,Bacteria,Firmicutes,Bacillus cereus ATCC 14579,TRUE,206,NCBI.ID,NC_004722
RefSoil_46,228410,Bacteria,Betaproteobacteria,Nitrosomonas europaea ATCC 19718,FALSE,91,NCBI.ID,NC_004757
RefSoil_47,243365,Bacteria,Betaproteobacteria,Chromobacterium violaceum ATCC 12472,FALSE,91,NCBI.ID,NC_005085
RefSoil_48,251221,Bacteria,Cyanobacteria,Gloeobacter violaceus PCC 7421,FALSE,27,NCBI.ID,NC_005125
RefSoil_49,258594,Bacteria,Alphaproteobacteria,Rhodopseudomonas palustris CGA009,TRUE,124,NCBI.ID,NC_005296
RefSoil_50,264462,Bacteria,Deltaproteobacteria,Bdellovibrio bacteriovorus HD100,FALSE,39,NCBI.ID,NC_005363
RefSoil_51,264730,Bacteria,Gammaproteobacteria,Pseudomonas savastanoi pv. phaseolicola 1448A,TRUE,193,NCBI.ID,NC_005773
RefSoil_52,267671,Bacteria,Spirochaetes,Leptospira interrogans serovar Copenhageni str,FALSE,12,NCBI.ID,NC_005823
RefSoil_53,264201,Bacteria,Chlamydiae,Candidatus Protochlamydia amoebophila UWE25,FALSE,3,NCBI.ID,NC_005861
RefSoil_54,263820,Archaea,Euryarchaeota,Picrophilus torridus DSM 9790,FALSE,25,NCBI.ID,NC_005877
RefSoil_55,260799,Bacteria,Firmicutes,Bacillus anthracis str. Sterne,FALSE,206,NCBI.ID,NC_005945
RefSoil_56,62977,Bacteria,Gammaproteobacteria,Acinetobacter sp. ADP1,FALSE,193,NCBI.ID,NC_005966
RefSoil_60,273123,Bacteria,Gammaproteobacteria,Yersinia pseudotuberculosis IP 32953,TRUE,193,NCBI.ID,NC_006155
RefSoil_61,292459,Bacteria,Firmicutes,Symbiobacterium thermophilum IAM 14863,FALSE,206,NCBI.ID,NC_006177
RefSoil_62,288681,Bacteria,Firmicutes,Bacillus cereus E33L,TRUE,206,NCBI.ID,NC_006274
RefSoil_63,279010,Bacteria,Firmicutes,Bacillus licheniformis DSM 13,FALSE,206,NCBI.ID,NC_006322
RefSoil_64,272560,Bacteria,Betaproteobacteria,Burkholderia pseudomallei K96243,FALSE,91,NCBI.ID,NC_006350
RefSoil_65,247156,Bacteria,Actinobacteria,Nocardia farcinica IFM 10152,TRUE,117,NCBI.ID,NC_006361
RefSoil_66,297246,Bacteria,Gammaproteobacteria,Legionella pneumophila str. Paris,TRUE,193,NCBI.ID,NC_006368
RefSoil_67,297245,Bacteria,Gammaproteobacteria,Legionella pneumophila str. Lens,TRUE,193,NCBI.ID,NC_006369
RefSoil_68,295319,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,FALSE,193,NCBI.ID,NC_006511
RefSoil_69,76114,Bacteria,Betaproteobacteria,Aromatoleum aromaticum EbN1,TRUE,91,NCBI.ID,NC_006513
RefSoil_70,66692,Bacteria,Firmicutes,Bacillus clausii KSM-K16,FALSE,206,NCBI.ID,NC_006582
RefSoil_71,69014,Archaea,Euryarchaeota,Thermococcus kodakarensis KOD1,FALSE,25,NCBI.ID,NC_006624
RefSoil_73,302409,Bacteria,Alphaproteobacteria,Ehrlichia ruminantium str. Gardel,FALSE,124,NCBI.ID,NC_006831
RefSoil_74,291331,Bacteria,Gammaproteobacteria,Xanthomonas oryzae pv. oryzae KACC 10331,FALSE,193,NCBI.ID,NC_006834
RefSoil_75,321314,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,NCBI.ID,NC_006905
RefSoil_76,262698,Bacteria,Alphaproteobacteria,Brucella abortus bv. 1 str. 9-941,FALSE,124,NCBI.ID,NC_006932
RefSoil_77,196627,Bacteria,Actinobacteria,Corynebacterium glutamicum ATCC 13032,FALSE,117,NCBI.ID,NC_006958
RefSoil_78,314565,Bacteria,Gammaproteobacteria,Xanthomonas campestris pv. campestris str,FALSE,193,NCBI.ID,NC_007086
RefSoil_79,306537,Bacteria,Actinobacteria,Corynebacterium jeikeium K411,TRUE,117,NCBI.ID,NC_007164
RefSoil_80,279808,Bacteria,Firmicutes,Staphylococcus haemolyticus JCSC1435,TRUE,206,NCBI.ID,NC_007168
RefSoil_81,259536,Bacteria,Gammaproteobacteria,Psychrobacter arcticus 273-4,FALSE,193,NCBI.ID,NC_007204
RefSoil_82,159087,Bacteria,Betaproteobacteria,Dechloromonas aromatica RCB,FALSE,91,NCBI.ID,NC_007298
RefSoil_83,269800,Bacteria,Actinobacteria,Thermobifida fusca YX,FALSE,117,NCBI.ID,NC_007333
RefSoil_84,269797,Archaea,Euryarchaeota,Methanosarcina barkeri str. Fusaro,TRUE,25,NCBI.ID,NC_007355
RefSoil_85,255470,Bacteria,Chloroflexi,Dehalococcoides mccartyi CBDB1,FALSE,9,NCBI.ID,NC_007356
RefSoil_86,292415,Bacteria,Betaproteobacteria,Thiobacillus denitrificans ATCC 25259,FALSE,91,NCBI.ID,NC_007404
RefSoil_87,323098,Bacteria,Alphaproteobacteria,Nitrobacter winogradskyi Nb-255,FALSE,124,NCBI.ID,NC_007406
RefSoil_88,320372,Bacteria,Betaproteobacteria,Burkholderia pseudomallei 1710b,FALSE,91,NCBI.ID,NC_007434
RefSoil_89,205922,Bacteria,Gammaproteobacteria,Pseudomonas fluorescens Pf0-1,FALSE,193,NCBI.ID,NC_007492
RefSoil_90,272943,Bacteria,Alphaproteobacteria,Rhodobacter sphaeroides 2.4.1,TRUE,124,NCBI.ID,NC_007493
RefSoil_91,338963,Bacteria,Deltaproteobacteria,Pelobacter carbinolicus DSM 2380,FALSE,39,NCBI.ID,NC_007498
RefSoil_92,316273,Bacteria,Gammaproteobacteria,Xanthomonas campestris pv. vesicatoria str,TRUE,193,NCBI.ID,NC_007508
RefSoil_93,482957,Bacteria,Betaproteobacteria,Burkholderia lata,FALSE,91,NCBI.ID,NC_007510
RefSoil_94,319225,Bacteria,Chlorobi,Chlorobium luteolum DSM 273,FALSE,3,NCBI.ID,NC_007512
RefSoil_95,340177,Bacteria,Chlorobi,Chlorobium chlorochromatii CaD3,FALSE,3,NCBI.ID,NC_007514
RefSoil_96,269799,Bacteria,Deltaproteobacteria,Geobacter metallireducens GS-15,TRUE,39,NCBI.ID,NC_007517
RefSoil_97,207559,Bacteria,Deltaproteobacteria,Desulfovibrio alaskensis G20,FALSE,39,NCBI.ID,NC_007519
RefSoil_98,261594,Bacteria,Firmicutes,Bacillus anthracis str. 'Ames Ancestor',TRUE,206,NCBI.ID,NC_007530
RefSoil_99,300268,Bacteria,Gammaproteobacteria,Shigella boydii Sb227,TRUE,193,NCBI.ID,NC_007613
RefSoil_100,323848,Bacteria,Betaproteobacteria,Nitrosospira multiformis ATCC 25196,TRUE,91,NCBI.ID,NC_007614
RefSoil_101,359391,Bacteria,Alphaproteobacteria,Brucella abortus 2308,FALSE,124,NCBI.ID,NC_007618
RefSoil_102,264732,Bacteria,Firmicutes,Moorella thermoacetica ATCC 39073,FALSE,206,NCBI.ID,NC_007644
RefSoil_103,271848,Bacteria,Betaproteobacteria,Burkholderia thailandensis E264,FALSE,91,NCBI.ID,NC_007651
RefSoil_104,339860,Archaea,Euryarchaeota,Methanosphaera stadtmanae DSM 3091,FALSE,25,NCBI.ID,NC_007681
RefSoil_105,290397,Bacteria,Deltaproteobacteria,Anaeromyxobacter dehalogenans 2CP-C,FALSE,39,NCBI.ID,NC_007760
RefSoil_106,347834,Bacteria,Alphaproteobacteria,Rhizobium etli CFN 42,TRUE,124,NCBI.ID,NC_007761
RefSoil_107,321327,Bacteria,Cyanobacteria,Synechococcus sp. JA-3-3Ab,FALSE,27,NCBI.ID,NC_007775
RefSoil_108,106370,Bacteria,Actinobacteria,Frankia sp. CcI3,FALSE,117,NCBI.ID,NC_007777
RefSoil_109,316058,Bacteria,Alphaproteobacteria,Rhodopseudomonas palustris HaA2,FALSE,124,NCBI.ID,NC_007778
RefSoil_110,279238,Bacteria,Alphaproteobacteria,Novosphingobium aromaticivorans DSM 12444,TRUE,124,NCBI.ID,NC_007794
RefSoil_111,222891,Bacteria,Alphaproteobacteria,Neorickettsia sennetsu str. Miyayama,FALSE,124,NCBI.ID,NC_007798
RefSoil_112,376619,Bacteria,Gammaproteobacteria,Francisella tularensis subsp. holarctica LVS,FALSE,193,NCBI.ID,NC_007880
RefSoil_113,138119,Bacteria,Firmicutes,Desulfitobacterium hafniense Y51,FALSE,206,NCBI.ID,NC_007907
RefSoil_114,316056,Bacteria,Alphaproteobacteria,Rhodopseudomonas palustris BisB18,FALSE,124,NCBI.ID,NC_007925
RefSoil_115,265072,Bacteria,Betaproteobacteria,Methylobacillus flagellatus KT,FALSE,91,NCBI.ID,NC_007947
RefSoil_116,296591,Bacteria,Betaproteobacteria,Polaromonas sp. JS666,TRUE,91,NCBI.ID,NC_007948
RefSoil_117,316057,Bacteria,Alphaproteobacteria,Rhodopseudomonas palustris BisB5,FALSE,124,NCBI.ID,NC_007958
RefSoil_118,290398,Bacteria,Gammaproteobacteria,Chromohalobacter salexigens DSM 3043,FALSE,193,NCBI.ID,NC_007963
RefSoil_119,323097,Bacteria,Alphaproteobacteria,Nitrobacter hamburgensis X14,TRUE,124,NCBI.ID,NC_007964
RefSoil_120,335284,Bacteria,Gammaproteobacteria,Psychrobacter cryohalolentis K5,TRUE,193,NCBI.ID,NC_007969
RefSoil_121,266264,Bacteria,Betaproteobacteria,Cupriavidus metallidurans CH34,TRUE,91,NCBI.ID,NC_007973
RefSoil_122,204669,Bacteria,Acidobacteria,Candidatus Koribacter versatilis Ellin345,FALSE,7,NCBI.ID,NC_008009
RefSoil_123,384676,Bacteria,Gammaproteobacteria,Pseudomonas entomophila L48,FALSE,193,NCBI.ID,NC_008027
RefSoil_124,246197,Bacteria,Deltaproteobacteria,Myxococcus xanthus DK 1622,FALSE,39,NCBI.ID,NC_008095
RefSoil_125,164756,Bacteria,Actinobacteria,Mycobacterium sp. MCS,TRUE,117,NCBI.ID,NC_008146
RefSoil_126,266117,Bacteria,Actinobacteria,Rubrobacter xylanophilus DSM 9941,FALSE,117,NCBI.ID,NC_008148
RefSoil_127,377628,Bacteria,Gammaproteobacteria,Yersinia pestis Nepal516,TRUE,193,NCBI.ID,NC_008149
RefSoil_128,360102,Bacteria,Gammaproteobacteria,Yersinia pestis Antiqua,TRUE,193,NCBI.ID,NC_008150
RefSoil_129,393115,Bacteria,Gammaproteobacteria,Francisella tularensis subsp. tularensi,FALSE,193,NCBI.ID,NC_008245
RefSoil_130,266779,Bacteria,Alphaproteobacteria,Chelativorans sp. BNC1,TRUE,124,NCBI.ID,NC_008254
RefSoil_131,269798,Bacteria,Bacteroidetes,Cytophaga hutchinsonii ATCC 33406,FALSE,19,NCBI.ID,NC_008255
RefSoil_132,195103,Bacteria,Firmicutes,Clostridium perfringens ATCC 13124,FALSE,206,NCBI.ID,NC_008261
RefSoil_133,101510,Bacteria,Actinobacteria,Rhodococcus jostii RHA1,TRUE,117,NCBI.ID,NC_008268
RefSoil_134,326424,Bacteria,Actinobacteria,Frankia alni ACN14a,FALSE,117,NCBI.ID,NC_008278
RefSoil_135,381666,Bacteria,Betaproteobacteria,Ralstonia eutropha H16,TRUE,91,NCBI.ID,NC_008313
RefSoil_136,391165,Bacteria,Alphaproteobacteria,Granulibacter bethesdensis CGDNIH1,FALSE,124,NCBI.ID,NC_008343
RefSoil_137,216596,Bacteria,Alphaproteobacteria,Rhizobium leguminosarum bv. viciae 3841,TRUE,124,NCBI.ID,NC_008380
RefSoil_138,339670,Bacteria,Betaproteobacteria,Burkholderia ambifaria AMMD,TRUE,91,NCBI.ID,NC_008390
RefSoil_139,316055,Bacteria,Alphaproteobacteria,Rhodopseudomonas palustris BisA53,FALSE,124,NCBI.ID,NC_008435
RefSoil_140,208963,Bacteria,Gammaproteobacteria,Pseudomonas aeruginosa UCBPP-PA14,FALSE,193,NCBI.ID,NC_008463
RefSoil_141,387344,Bacteria,Firmicutes,Lactobacillus brevis ATCC 367,TRUE,206,NCBI.ID,NC_008497
RefSoil_142,355276,Bacteria,Spirochaetes,Leptospira borgpetersenii serovar Hardjo-bovi,FALSE,12,NCBI.ID,NC_008508
RefSoil_143,355277,Bacteria,Spirochaetes,Leptospira borgpetersenii serovar Hardjo-bovi,FALSE,12,NCBI.ID,NC_008510
RefSoil_144,234267,Bacteria,Acidobacteria,Candidatus Solibacter usitatus Ellin6076,FALSE,7,NCBI.ID,NC_008536
RefSoil_145,290399,Bacteria,Actinobacteria,Arthrobacter sp. FB24,TRUE,117,NCBI.ID,NC_008541
RefSoil_146,331272,Bacteria,Betaproteobacteria,Burkholderia cenocepacia HI2424,TRUE,91,NCBI.ID,NC_008542
RefSoil_147,386415,Bacteria,Firmicutes,Clostridium novyi NT,FALSE,206,NCBI.ID,NC_008593
RefSoil_148,243243,Bacteria,Actinobacteria,Mycobacterium avium 104,FALSE,117,NCBI.ID,NC_008595
RefSoil_149,338966,Bacteria,Deltaproteobacteria,Pelobacter propionicus DSM 2379,TRUE,39,NCBI.ID,NC_008609
RefSoil_150,290317,Bacteria,Chlorobi,Chlorobium phaeobacteroides DSM 266,FALSE,3,NCBI.ID,NC_008639
RefSoil_151,196162,Bacteria,Actinobacteria,Nocardioides sp. JS614,TRUE,117,NCBI.ID,NC_008699
RefSoil_152,326297,Bacteria,Gammaproteobacteria,Shewanella amazonensis SB2B,FALSE,193,NCBI.ID,NC_008700
RefSoil_153,62928,Bacteria,Betaproteobacteria,Azoarcus sp. BH72,FALSE,91,NCBI.ID,NC_008702
RefSoil_154,189918,Bacteria,Actinobacteria,Mycobacterium sp. KMS,TRUE,117,NCBI.ID,NC_008705
RefSoil_155,314724,Bacteria,Spirochaetes,Borrelia turicatae 91E135,TRUE,12,NCBI.ID,NC_008710
RefSoil_156,290340,Bacteria,Actinobacteria,Arthrobacter aurescens TC1,TRUE,117,NCBI.ID,NC_008711
RefSoil_157,351348,Bacteria,Gammaproteobacteria,Marinobacter hydrocarbonoclasticus VT8,TRUE,193,NCBI.ID,NC_008740
RefSoil_158,397945,Bacteria,Betaproteobacteria,Acidovorax citrulli AAC00-1,FALSE,91,NCBI.ID,NC_008752
RefSoil_159,365044,Bacteria,Betaproteobacteria,Polaromonas naphthalenivorans CJ2,TRUE,91,NCBI.ID,NC_008781
RefSoil_160,232721,Bacteria,Betaproteobacteria,Acidovorax sp. JS42,TRUE,91,NCBI.ID,NC_008782
RefSoil_161,391735,Bacteria,Betaproteobacteria,Verminephrobacter eiseniae EF01-2,TRUE,91,NCBI.ID,NC_008786
RefSoil_162,349124,Bacteria,Gammaproteobacteria,Halorhodospira halophila SL1,FALSE,193,NCBI.ID,NC_008789
RefSoil_163,420662,Bacteria,Betaproteobacteria,Methylibium petroleiphilum PM1,TRUE,91,NCBI.ID,NC_008825
RefSoil_164,203119,Bacteria,Firmicutes,Ruminiclostridium thermocellum ATCC 27405,FALSE,206,NCBI.ID,NC_009012
RefSoil_165,349101,Bacteria,Alphaproteobacteria,Rhodobacter sphaeroides ATCC 17029,TRUE,124,NCBI.ID,NC_009049
RefSoil_166,320373,Bacteria,Betaproteobacteria,Burkholderia pseudomallei 668,FALSE,91,NCBI.ID,NC_009074
RefSoil_168,357348,Bacteria,Betaproteobacteria,Burkholderia pseudomallei 1106a,FALSE,91,NCBI.ID,NC_009076
RefSoil_167,164757,Bacteria,Actinobacteria,Mycobacterium sp. JLS,FALSE,117,NCBI.ID,NC_009077
RefSoil_169,405948,Bacteria,Actinobacteria,Saccharopolyspora erythraea NRRL 2338,FALSE,117,NCBI.ID,NC_009142
RefSoil_170,269482,Bacteria,Betaproteobacteria,Burkholderia vietnamiensis G4,TRUE,91,NCBI.ID,NC_009256
RefSoil_171,420246,Bacteria,Firmicutes,Geobacillus thermodenitrificans NG80-2,TRUE,206,NCBI.ID,NC_009328
RefSoil_172,350054,Bacteria,Actinobacteria,Mycobacterium gilvum PYR-GCK,TRUE,117,NCBI.ID,NC_009338
RefSoil_173,340322,Bacteria,Actinobacteria,Corynebacterium glutamicum R,TRUE,117,NCBI.ID,NC_009342
RefSoil_174,369723,Bacteria,Actinobacteria,Salinispora tropica CNB-440,FALSE,117,NCBI.ID,NC_009380
RefSoil_175,349102,Bacteria,Alphaproteobacteria,Rhodobacter sphaeroides ATCC 17025,TRUE,124,NCBI.ID,NC_009428
RefSoil_176,379731,Bacteria,Gammaproteobacteria,Pseudomonas stutzeri A1501,FALSE,193,NCBI.ID,NC_009434
RefSoil_177,399742,Bacteria,Gammaproteobacteria,Enterobacter sp. 638,TRUE,193,NCBI.ID,NC_009436
RefSoil_178,319224,Bacteria,Gammaproteobacteria,Shewanella putrefaciens CN-32,FALSE,193,NCBI.ID,NC_009438
RefSoil_179,399739,Bacteria,Gammaproteobacteria,Pseudomonas mendocina ymp,FALSE,193,NCBI.ID,NC_009439
RefSoil_180,376686,Bacteria,Bacteroidetes,Flavobacterium johnsoniae UW101,FALSE,19,NCBI.ID,NC_009441
RefSoil_181,114615,Bacteria,Alphaproteobacteria,Bradyrhizobium sp. ORS 278,FALSE,124,NCBI.ID,NC_009445
RefSoil_182,216389,Bacteria,Chloroflexi,Dehalococcoides mccartyi BAV1,FALSE,9,NCBI.ID,NC_009455
RefSoil_183,351160,Archaea,Euryarchaeota,Methanocella arvoryzae MRE50,FALSE,25,NCBI.ID,NC_009464
RefSoil_184,443906,Bacteria,Actinobacteria,Clavibacter michiganensis subsp. michiganensi,TRUE,117,NCBI.ID,NC_009480
RefSoil_185,351605,Bacteria,Deltaproteobacteria,Geobacter uraniireducens Rf4,FALSE,39,NCBI.ID,NC_009483
RefSoil_186,349163,Bacteria,Alphaproteobacteria,Acidiphilium cryptum JF-5,TRUE,124,NCBI.ID,NC_009484
RefSoil_187,400673,Bacteria,Gammaproteobacteria,Legionella pneumophila str. Corby,FALSE,193,NCBI.ID,NC_009494
RefSoil_188,444178,Bacteria,Alphaproteobacteria,Brucella ovis ATCC 25840,FALSE,124,NCBI.ID,NC_009505
RefSoil_189,392499,Bacteria,Alphaproteobacteria,Sphingomonas wittichii RW1,TRUE,124,NCBI.ID,NC_009511
RefSoil_190,351746,Bacteria,Gammaproteobacteria,Pseudomonas putida F1,FALSE,193,NCBI.ID,NC_009512
RefSoil_191,420247,Archaea,Euryarchaeota,Methanobrevibacter smithii ATCC 35061,FALSE,25,NCBI.ID,NC_009515
RefSoil_192,349106,Bacteria,Gammaproteobacteria,Psychrobacter sp. PRwf-1,TRUE,193,NCBI.ID,NC_009524
RefSoil_193,336982,Bacteria,Actinobacteria,Mycobacterium tuberculosis F11,FALSE,117,NCBI.ID,NC_009565
RefSoil_194,290402,Bacteria,Firmicutes,Clostridium beijerinckii NCIMB 8052,FALSE,206,NCBI.ID,NC_009617
RefSoil_195,272620,Bacteria,Gammaproteobacteria,Klebsiella pneumoniae subsp. pneumoniae MG,TRUE,193,NCBI.ID,NC_009648
RefSoil_196,400668,Bacteria,Gammaproteobacteria,Marinomonas sp. MWYL1,FALSE,193,NCBI.ID,NC_009654
RefSoil_197,375286,Bacteria,Betaproteobacteria,Janthinobacterium sp. Marseille,FALSE,91,NCBI.ID,NC_009659
RefSoil_198,266940,Bacteria,Actinobacteria,Kineococcus radiotolerans SRS30216,TRUE,117,NCBI.ID,NC_009664
RefSoil_199,439375,Bacteria,Alphaproteobacteria,Ochrobactrum anthropi ATCC 49188,TRUE,124,NCBI.ID,NC_009667
RefSoil_200,315749,Bacteria,Firmicutes,Bacillus cytotoxicus NVH 391-98,TRUE,206,NCBI.ID,NC_009674
RefSoil_201,404589,Bacteria,Deltaproteobacteria,Anaeromyxobacter sp. Fw109-5,FALSE,39,NCBI.ID,NC_009675
RefSoil_202,441771,Bacteria,Firmicutes,Clostridium botulinum A str. Hall,FALSE,206,NCBI.ID,NC_009698
RefSoil_203,431943,Bacteria,Firmicutes,Clostridium kluyveri DSM 555,TRUE,206,NCBI.ID,NC_009706
RefSoil_204,456442,Archaea,Euryarchaeota,Methanoregula boonei 6A8,FALSE,25,NCBI.ID,NC_009712
RefSoil_205,360105,Bacteria,Epsilonproteobacteria,Campylobacter curvus 525.92,FALSE,9,NCBI.ID,NC_009715
RefSoil_206,78245,Bacteria,Alphaproteobacteria,Xanthobacter autotrophicus Py2,TRUE,124,NCBI.ID,NC_009720
RefSoil_207,326423,Bacteria,Firmicutes,Bacillus methylotrophicus FZB42,FALSE,206,NCBI.ID,NC_009725
RefSoil_208,290338,Bacteria,Gammaproteobacteria,Citrobacter koseri ATCC BAA-895,TRUE,193,NCBI.ID,NC_009792
RefSoil_209,360104,Bacteria,Epsilonproteobacteria,Campylobacter concisus 13826,TRUE,9,NCBI.ID,NC_009802
RefSoil_210,399741,Bacteria,Gammaproteobacteria,Serratia proteamaculans 568,TRUE,193,NCBI.ID,NC_009832
RefSoil_211,315750,Bacteria,Firmicutes,Bacillus pumilus SAFR-032,FALSE,206,NCBI.ID,NC_009848
RefSoil_212,96561,Bacteria,Deltaproteobacteria,Desulfococcus oleovorans Hxd3,FALSE,39,NCBI.ID,NC_009943
RefSoil_213,391037,Bacteria,Actinobacteria,Salinispora arenicola CNS-205,FALSE,117,NCBI.ID,NC_009953
RefSoil_214,357809,Bacteria,Firmicutes,Lachnoclostridium phytofermentans ISDg,FALSE,206,NCBI.ID,NC_010001
RefSoil_215,398578,Bacteria,Betaproteobacteria,Delftia acidovorans SPH-1,FALSE,91,NCBI.ID,NC_010002
RefSoil_216,395019,Bacteria,Betaproteobacteria,Burkholderia multivorans ATCC 17616,TRUE,91,NCBI.ID,NC_010084
RefSoil_217,483179,Bacteria,Alphaproteobacteria,Brucella canis ATCC 23365,FALSE,124,NCBI.ID,NC_010103
RefSoil_218,448385,Bacteria,Deltaproteobacteria,Sorangium cellulosum So ce56,FALSE,39,NCBI.ID,NC_010162
RefSoil_219,441768,Bacteria,Tenericutes,Acholeplasma laidlawii PG-8A,FALSE,2,NCBI.ID,NC_010163
